Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Switzerland maintains strong regulatory frameworks (consumer protection, competition law, environmental standards) but combines them with a liberal market economy and low corporate taxes, positioning it moderately pro‑regulation relative to global norms.",0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Switzerland employs a moderate, progressive tax system and a robust welfare framework that support wealth redistribution, yet it retains a strong market orientation and relatively lower tax rates than many European peers, reflecting a centrist stance.",0.3
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Switzerland maintains a mixed‑market economy where a highly efficient private sector coexists with well‑run public programs; empirical evidence shows strong productivity in both, leading to a moderate endorsement of the statement.",0.3
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Switzerland’s social‑partnership model grants labor unions a central role in collective bargaining and workers’ protections, indicating a pragmatic endorsement of unions as necessary for safeguarding rights, though its low union density reflects a moderate, mixed‑market orientation.",0.55
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Switzerland ranks among the world’s most economically free nations, with low taxes, minimal trade barriers, and a strong culture of private enterprise; yet it also sustains a comprehensive welfare system, robust labor protections, and regulatory oversight, indicating a moderate pro‑free‑market stance tempered by state intervention.",0.35
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Switzerland’s social security system is built on compulsory contributions and a strong emphasis on personal responsibility—health insurance with cost‑sharing, mandatory pension and unemployment insurance—while maintaining a moderate welfare state. This balance indicates a clear disagreement with the idea that welfare programs discourage individual responsibility.",-0.75
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Switzerland operates a highly regulated, compulsory private insurance system that is complemented by publicly funded hospitals, but it does not pursue a single‑payer model that would eliminate private insurers. Thus, Switzerland would be moderately opposed to the idea of fully replacing private insurance with public healthcare.",-0.3
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Switzerland implements a progressive income‑tax system with combined federal‑and‑cantonal marginal rates reaching roughly 40 % for the highest earners, which is higher than the average for many OECD countries but lower than the very high rates in several European welfare states. This indicates a moderate, but not extreme, support for taxing the wealthy at higher rates than the poor.",0.35
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Switzerland offers a low‑tax, business‑friendly environment with minimal corporate taxation and efficient administrative procedures, yet it maintains significant regulatory oversight in banking, labor, and environmental standards, reflecting a moderately pro‑growth stance rather than a laissez‑faire approach.",0.4
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Switzerland maintains public ownership or strong state regulation for key utilities such as water, electricity transmission, rail, and postal services, reflecting a moderate tilt toward public provision while still allowing significant private participation in generation and retail.",0.55
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Switzerland’s economic model is a highly regulated free‑market system with progressive taxation, universal health insurance, and strong labor protections that keep inequality low (Gini ≈ 0.27) and maintain political and economic stability, showing a clear practical belief that capitalism can be tempered rather than inevitably leading to inequality or instability.",-0.3
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Switzerland champions private R&D and startup activity, with a robust innovation ecosystem driven by profit motives, yet it also relies on substantial public investment and regulatory support in key sectors, positioning it moderately in favor of profit‑driven innovation rather than state planning.",0.3
