Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Under the Ba'athist regime, Syria retains extensive state ownership and regulation of major industries such as oil, gas, and telecommunications, reflecting a preference for heavy regulatory oversight. However, systemic corruption and weak enforcement often undermine the effectiveness of such regulations in preventing exploitation.",0.65
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Syria’s authoritarian regime operates a weak, war‑driven welfare system with minimal progressive taxation and significant wealth concentration; compared with global standards for redistributive taxation, it falls well below the neutral midpoint.",-0.6
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Syria’s economy remains dominated by state‑run enterprises and tight regulation of private firms; its policy history and governance practices show limited endorsement of privatization and a recognition of government inefficiencies, indicating a strong disagreement with the assertion that private businesses are inherently more efficient.",-0.8
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,Syria maintains a state‑controlled Workers' Union with limited independence and weak enforcement of labor protections; thus its approach reflects a restrictive stance toward the necessity of independent labor unions compared to global norms.,-0.75
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Syria’s economy is largely state‑controlled, with nationalized oil, energy, and key industrial sectors, minimal private enterprise, and strong central planning—placing it far to the left of a free‑market ideology.",-0.95
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Syria’s state‑run economy and extensive provision of health, education, and subsidized food—coupled with a lack of private welfare mechanisms—show a left‑leaning orientation toward welfare. The regime would therefore likely reject the notion that welfare programs discourage individual responsibility.",-0.8
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Syria operates a largely state‑run health system that offers free primary care and has introduced a national health insurance scheme, indicating strong support for public coverage over private insurance, though practical implementation has been constrained by war and sanctions.",0.75
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Syria’s tax system is modestly progressive, with marginal rates capped around 15–20 %, lower than typical OECD standards, and enforcement has been weak; the regime’s wealth concentration and limited redistribution indicate a weak commitment to significantly higher rates for the rich.",-0.15
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Syria operates under a highly centralized, authoritarian regime with extensive state ownership and regulation of industry, making it far from favoring minimal corporate restrictions; its economic policies reflect significant intervention rather than laissez-faire principles.",-0.8
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Syria’s constitution and long‑standing economic policy keep key utilities (electricity, water, telecommunications) state‑owned, and the government has not moved toward privatization of these essential services. Thus Syria strongly aligns with the statement that essential services should remain public.",1.0
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Syria’s long‑term single‑party socialist regime, heavy state ownership and anti‑capitalist rhetoric align it with the view that capitalism breeds inequality and instability, placing it far to the left of the universal political compass.",0.8
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Syria’s economy is dominated by state control and central planning, with a very small private sector and limited opportunities for profit‑driven innovation; the government’s heavy involvement in industry and the impact of prolonged conflict have made state planning the primary engine of development.",-0.85
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Syria’s laws and security apparatus routinely authorize broad monitoring of communications under the pretext of national security, indicating a markedly pro‑surveillance stance relative to global norms.",0.95
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Syria’s constitution and penal code criminalize dissent, with Article 51 punishing public criticism of the state and authorities routinely detaining journalists, activists and protesters; these practices place it far below global norms that safeguard free speech.",-0.95
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Syria’s governance is characterized by a strong security apparatus, widespread censorship, and the suspension of civil liberties under the pretext of national security and stability, aligning closely with a high endorsement of law‑and‑order over personal freedoms.",0.9
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Syria’s political system is dominated by a single leader and his party, with minimal democratic checks and institutional competition, reflecting a clear preference for a strong authoritarian rule over pluralistic governance. This aligns strongly with the assertion that a powerful leader is preferable to a messy democracy.",0.95
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Syria operates under a highly centralized, single‑party regime where the president is elected by the People's Assembly, not by the public, and there are no regular institutional referendums on policy matters. Consequently, Syria is far from supporting a system where people decide most issues directly through referendums.",-1.0
Authority v Liberty,Police forces need more authority to control crime.,1,"Syria operates under an authoritarian regime that grants police and security forces sweeping powers with little oversight; the state’s legal and institutional framework reflects a strong preference for centralized law‑and‑order control, aligning it with a pro‑police‑authority stance.",0.8
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Syria’s legal framework criminalizes unapproved protests, and its authoritarian regime has repeatedly used harsh repression against dissent, leaving no institutional space for civil disobedience.",-1.0
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Syria’s governance is dominated by a single-party state with extensive security apparatus and legal restrictions on civil liberties, reflecting a strong conviction that centralized authority is essential for maintaining social cohesion.",0.9
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Syria’s authoritarian regime routinely suspends civil liberties—censorship, arbitrary arrests, and forceful crackdowns on dissent—especially during crises, indicating a strong disagreement with the statement.",-1.0
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Syria enforces compulsory military service for all male citizens aged 18‑30, with few exemptions; it does not extend this requirement to women or all age groups, so its position is strongly pro‑mandatory but not absolute for every citizen.",0.75
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Syria’s authoritarian regime, characterized by a one‑party state, limited judicial independence, and an absence of free press or civil society, effectively excludes public accountability of its leaders—contrary to global democratic norms that endorse strict accountability.",-0.95
