Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Tonga enforces modest regulatory measures—such as fisheries quotas, environmental protections, and labour standards—but lacks the pervasive, heavy industry oversight typical of more interventionist regimes, positioning it near the centrist point.",0.07
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Tonga has a modest tax system and limited welfare programs, reflecting a pragmatic, mixed‑market approach rather than a strong commitment to redistributive policy; its public spending on social services is relatively low compared with global welfare states, indicating a tendency to view taxation primarily as revenue rather than a tool for equity.",-0.45
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Tonga’s political and economic structure blends state involvement with private enterprise; its policies reflect a pragmatic, centrist approach that neither fully endorses nor rejects the efficiency of private businesses over government programs.",-0.2
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Tonga’s constitution and ratification of ILO conventions (e.g., Convention 87 on freedom of association) legally protect unions, but the country’s low union density and limited enforcement of labor standards give it a modest pro‑union position relative to global norms.",0.25
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Tonga has pursued limited market liberalisation—through trade agreements and tax reforms—but retains significant state intervention in key sectors such as fisheries and energy, indicating a moderate, not strongly laissez‑faire stance.",-0.2
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Tonga maintains a modest social‑security and healthcare system—providing pensions, disability benefits, and free public health care—yet its welfare provisions are limited and largely aimed at basic needs. This suggests a cautious stance: the country does not strongly endorse the view that welfare inherently discourages individual responsibility, positioning it near neutral but slightly against the statement.",-0.2
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Tonga’s public health system is the primary provider of care, but it has not enacted a comprehensive policy to replace private insurance companies. The government’s health reforms focus on strengthening public services while allowing a limited private sector, placing it slightly left of center but not fully pro‑public.",0.25
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Tonga’s tax system is modest and largely flat, with only a small progressive bracket that does not impose substantially higher rates on the wealthy. Compared with global norms of progressive taxation, Tonga shows a relatively weak stance in favor of significantly higher taxes on the rich.",-0.2
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Tonga’s regulatory environment is relatively restrictive compared with major free‑market economies, as shown by its low ease‑of‑doing‑business ranking and substantial land‑ownership restrictions. While it offers some incentives to foreign investors, the state still exercises significant control over key sectors, positioning Tonga below the global average for minimal corporate restrictions.",-0.3
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Tonga’s electricity, water, and telecommunications are largely operated by government-owned entities, with no major privatization of these essential services; this aligns strongly with a pro‑public stance compared to the global trend toward partial privatization.",0.75
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Tonga’s economy is a pragmatic mix of free‑market activity and state‑run social programs, with a moderate Gini coefficient (~31) and a stable constitutional monarchy that provides social security schemes; this indicates a modest recognition that capitalism can generate inequality but also that institutional structures can cushion it.",0.2
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Tonga’s economy remains heavily state‑led, with substantial government ownership of key sectors (e.g., fisheries, tourism) and a tradition of state‑planning for social stability, indicating a moderate disagreement with the notion that profit‑driven innovation is inherently superior to state planning.",-0.45
