Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Turkey balances market freedom with regulatory oversight, implementing consumer, labor, and environmental protections but maintaining a largely open economy, placing it slightly above the global neutral point.",0.35
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Turkey applies a progressive income‑tax structure and runs welfare programs (pensions, unemployment insurance, housing subsidies), but its overall tax burden and top marginal rates are below many OECD averages, reflecting a moderate but not strong endorsement of redistribution.",0.3
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Turkey operates a mixed economy that heavily supports private enterprises while retaining state control in strategic sectors; compared to global norms, this reflects a moderately pro‑privatization stance.",0.2
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Turkey enshrines union rights in law but recent reforms and enforcement practices have curtailed union influence, giving it a moderate but restrained pro‑union position compared to global norms.",0.3
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Turkey’s economy is a mixed model that relies heavily on state intervention and protectionist measures, indicating a moderate to slightly anti‑laissez‑faire stance relative to global norms.",-0.2
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Turkey’s social‑security system is moderate and framed as a safety net rather than a disincentive to work, placing it closer to global centrist norms than to a hard‑right anti‑welfare stance.",-0.3
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Turkey offers universal public health coverage through SGK and the Ministry of Health, yet private insurance remains legal and widely used, reflecting a moderate support for public provision but not a full replacement of private insurance.",0.3
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Turkey has a progressive income tax system with rates up to 40% for high earners, but the overall tax burden and enforcement limits the effective progressivity compared to many OECD countries, indicating a moderate, not strong, support for higher taxes on the wealthy.",0.25
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Turkey adopts a mixed economic approach, combining liberal trade and moderate tax rates with substantial state ownership and regulatory constraints, placing it modestly pro‑liberal but not fully endorsing minimal restrictions.",0.3
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Turkey keeps the majority of its essential utilities—electricity, gas, water, and telecom—under state ownership or control, reflecting a moderate preference for public provision; while it has pursued selective privatization, key services remain largely government-run.",0.5
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Turkey combines a largely market‑based economy with substantial state intervention and welfare measures, signaling a view that capitalism’s effects can be mitigated rather than deemed inevitably unequal and unstable.",-0.45
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Turkey’s economic policy blends state planning with market incentives—large public projects and national development plans coexist with private investment and innovation programs, positioning it marginally toward state planning on a global scale.",-0.25
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Turkey’s broad surveillance laws, extensive use of intelligence agencies, and frequent monitoring of journalists and opposition figures for “national security” purposes put it well above most democracies on the universal political compass, aligning closely with the pro‑surveillance side.",0.9
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Turkey’s legal framework, including criminal penalties for insulting the president and the ruling party’s control over the media, limits citizens’ ability to criticize the government without risk, placing it far below global standards for free speech.",-0.8
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Turkey has enacted extensive anti‑terror, press‑censorship, and curfew measures since the 2016 coup attempt, leading to widespread restrictions on journalists, NGOs, and public assembly—evidence of a strong prioritization of law and order over some civil liberties.",0.65
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Turkey’s 2017 constitutional referendum and subsequent consolidation of executive power under President Erdoğan demonstrate a clear preference for a strong leader over a messy democracy, even as elections continue to be held. Compared with global norms, this trend places Turkey toward the authoritarian end of the spectrum, though not fully autocratic.",0.65
Authority v Liberty,People should decide most issues directly through referendums.,-1,Turkey’s political system is primarily representative; referendums are used only sporadically (mainly for constitutional changes) and are not advocated as a mechanism for most policy decisions.,-0.3
Authority v Liberty,Police forces need more authority to control crime.,1,"Turkey has historically expanded police powers through emergency legislation and a strong security focus, aligning it well above the global average for support of increased police authority.",0.75
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Turkey’s legal framework and recent political conduct heavily restrict protest, with anti‑terror laws and curbs on assembly leading to frequent arrests of demonstrators, indicating a clear opposition to civil disobedience.",-0.7
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Turkey’s contemporary political landscape—characterized by expanded presidential powers, media controls, and a nationalist narrative stressing unity after the 2016 coup—suggests a moderate-to-strong endorsement that state authority is essential for social cohesion.",0.55
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Turkey’s frequent use of emergency powers and security laws—most notably the post‑2016 coup crackdown—shows a willingness to limit civil liberties during crises, placing it below the libertarian ideal that personal freedoms should never be sacrificed.",-0.45
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Turkey requires compulsory military service for male citizens (though not for women), placing it moderately in favor of universal conscription relative to global norms.",0.25
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Turkey’s political system concentrates power in the executive and restricts independent media and opposition, limiting practical public accountability; while constitutional mechanisms exist for impeachment, they are rarely used.",-0.65
