Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Turkmenistan operates a state‑capitalist system with the government owning and heavily regulating major industries (particularly oil, gas, and cotton), limiting private enterprise, and enforcing strict control over labor and production. While the heavy regulation is more about maintaining state control and revenue than protecting workers, the country’s policy profile aligns strongly with the idea of a government imposing significant regulatory oversight over industries.",0.75
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Turkmenistan’s tax regime is largely flat and modest (e.g., 10 % corporate tax, 7 % personal income tax) and its primary redistribution mechanisms rely on state subsidies and public service provision funded by oil revenues rather than progressive taxation. Consequently, the country does not regard wealth redistribution through taxation as an essential tool for reducing inequality.",-0.25
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Turkmenistan maintains a highly centralized economy with strict limits on private ownership and a strong preference for state‑run enterprises, reflecting a policy that favors public over private efficiency.",-0.9
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Turkmenistan’s political system suppresses independent labor unions; workers are represented only through state‑controlled organizations that lack genuine bargaining power, indicating a pragmatic rejection of the statement.",-0.7
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Turkmenistan operates a highly centralized, state‑dominated economy with major industries (oil, gas, agriculture, utilities) under state ownership and strict regulation of private enterprise, showing clear opposition to laissez‑faire market principles.",-0.9
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Turkmenistan runs a highly centralized, state‑run welfare system that provides free healthcare, education, and pensions, reflecting a collectivist approach that eschews market‑driven individual responsibility. Compared to global norms, this aligns with a strong anti‑welfare‑reduction stance, placing the country near the full‑welfare end of the scale.",-0.9
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,Turkmenistan operates a largely state‑run healthcare system with negligible private insurance; thus it strongly supports the replacement of private insurers by public healthcare.,0.85
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Turkmenistan applies a flat 10 % personal income tax with no progressive brackets, and its revenue largely stems from state‑owned natural‑resource enterprises rather than higher rates on the wealthy; thus it would strongly oppose the notion that the rich should pay significantly higher taxes.",-0.8
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Turkmenistan’s economy remains heavily state‑controlled, with extensive regulation, nationalized key sectors, and limited private enterprise freedom—far from a minimal‑restriction model. This places it well to the left of the universal political compass, strongly opposing the idea that corporations should operate with minimal oversight.",-0.85
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Turkmenistan’s constitution and economic policy keep virtually all utilities—electricity, gas, water, telecommunications—under state ownership and control, with virtually no private sector participation. This strong national‑ownership stance aligns closely with the statement that essential services should remain public, giving it a high score on the universal political compass.",1.0
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Turkmenistan’s highly centralized, state‑controlled economy and frequent anti‑capitalist rhetoric suggest it views free‑market capitalism as a source of inequality and instability, yet its system is neither fully socialist nor a welfare state, placing it modestly to the left of global centrist norms.",0.3
