Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Ukraine has pursued a mix of market reforms and regulatory measures, especially anti‑corruption laws and sector‑specific controls, aiming to curb exploitation while encouraging investment; globally, this places it in a moderately pro‑regulation camp rather than a strongly deregulated or heavily regulated extreme.",0.35
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Ukraine operates a flat personal income tax (18%) and modest social welfare programs, placing it on the moderate‑pro side of redistribution relative to global norms—more progressive than many post‑communist states but less ambitious than EU averages.",0.3
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Ukraine has shifted from a fully state‑run economy toward a mixed market system, privatizing many enterprises while still maintaining state control in key sectors, which places it modestly in favor of private business efficiency.",0.35
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Ukraine’s constitution guarantees the right to form unions and its labor law provides for collective bargaining and strike rights, and recent reforms aim to strengthen these protections; however, union membership is low and economic reforms emphasize market flexibility, so the country supports unions as a necessary safeguard but not as a dominant force.",0.35
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Ukraine promotes free‑market reforms and EU‑style liberalization, yet retains substantial state ownership, regulatory controls, and oligarchic influence, reflecting a moderate rather than full laissez‑faire stance.",0.25
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Ukraine maintains modest welfare programs (e.g., pensions, child benefits) while actively promoting economic reforms and individual responsibility, placing it near the center but slightly left on the welfare–responsibility spectrum.",-0.15
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Ukraine has a universal public health system that provides free primary and most specialized services, while private insurance remains legal and is used mainly for supplementary coverage; this reflects a moderate support for public provision but not a full replacement of private insurers.",0.25
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Ukraine applies a flat 18 % personal income tax and has not adopted progressive taxation, indicating a stance that is moderately against the idea that the wealthy should pay significantly higher rates.",-0.3
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Ukraine has begun market liberalization and reduced some state controls, yet still faces substantial regulatory hurdles, high corruption, and significant state involvement in key sectors, placing it below many liberal economies on a minimal‑restriction scale.",-0.3
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Ukraine’s constitution and recent legislation uphold state provision of essential services, yet significant portions of utilities (electricity, water, gas) are operated by private or public‑private partnerships, reflecting a mixed, slightly market‑oriented stance.",0.3
