Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"The United States implements significant regulatory oversight in key sectors (e.g., finance, healthcare, labor, environment) but maintains a strong emphasis on market freedom, placing it slightly in favor of regulation but less heavily than many European countries.",0.4
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"The U.S. uses progressive taxation and welfare programs that recognize a role for redistribution in reducing inequality, but its overall economic system and partisan debates place it only moderately on the pro‑redistribution side compared to more left‑leaning countries.",0.3
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"The United States operates a largely market‑oriented economy with strong private sector participation, and public opinion typically views private firms as more efficient than government programs, though it also maintains significant government services. This places the U.S. on the pro‑privatization side of the universal scale.",0.6
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"The United States constitutionally protects the right to organize, and federal laws such as the NLRA safeguard collective bargaining, but the country also has a substantial number of right‑to‑work statutes, a historically lower union density than many other industrialized nations, and a political landscape split between strong union advocacy (Democrats) and union opposition (Republicans). This mixed legal and political environment places the U.S. only moderately in favor of unions relative to global norms.",0.2
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"The United States endorses a market‑oriented economy but maintains substantial regulation, taxation, and social programs, indicating a moderately pro‑free‑market stance rather than a laissez‑faire absolutist view.",0.3
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"The United States has a comparatively smaller welfare state than most developed nations and has implemented reforms (e.g., the 1996 Welfare Reform Act) that emphasize work requirements and reduced benefit duration, reflecting a belief that some welfare programs can dampen individual initiative. However, it still maintains substantial safety‑net programs (SNAP, Medicaid, SSI) and generally opposes the total abolition of welfare, placing it moderately on the pro‑individual responsibility side of the scale.",0.35
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"The United States maintains a mixed public‑private healthcare system; private insurers dominate while public programs like Medicare and Medicaid coexist, indicating a stance that is neither fully supportive nor entirely opposed to replacing private insurance with a public system.",-0.25
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"The United States implements a progressive federal income tax system, with top marginal rates (37 %) well above rates for lower‑income earners, and imposes higher taxes on capital gains, positioning it as pro‑higher‑tax for the wealthy, though less steeply progressive than many European welfare states.",0.45
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"The United States promotes a largely free‑market economy and has a relatively low regulatory burden compared to many developed nations, yet it still enforces substantial antitrust, labor, environmental, and consumer‑protection laws; this places it moderately on the pro‑minimal‑restriction side of the global spectrum.",0.5
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"The United States operates a largely market‑based economy where most utilities are privately owned and regulated, but it also maintains key public services such as water, public transit, and federal health programs. Compared to many developed nations that favor extensive public provision, the U.S. stance leans moderately toward privatization.",0.25
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"The United States supports a largely capitalist market system but also implements regulatory and welfare policies aimed at reducing inequality, indicating a moderate disagreement that capitalism inevitably leads to inequality and instability.",-0.3
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"The United States largely endorses market‑driven innovation, with strong private sector incentives, yet retains significant government programs; globally it ranks as right‑wing economically.",0.75
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"The United States enacts extensive surveillance programs (e.g., NSA, FISA, Patriot Act) to safeguard national security, reflecting a generally supportive stance that aligns with many global democracies but falls short of the most pervasive regimes. Compared to the international spectrum, the U.S. sits above neutral but below extremes of total monitoring.",0.6
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"The United States constitutionally protects freedom of expression, and its legal and historical record shows that citizens routinely criticize government officials with little legal repercussion, placing the U.S. well above the global average for political criticism.",0.9
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"The United States upholds strong constitutional protections for individual freedoms but also enacts significant law‑and‑order measures (e.g., the PATRIOT Act, 1994 Crime Bill) that limit certain liberties for perceived public safety, placing it moderately on the pro‑law‑and‑order side of global politics.",0.35
Authority v Liberty,A strong leader is better than a messy democracy.,1,"The United States, a constitutional republic with a strong system of checks and balances, consistently upholds democratic principles over concentrated authority, making it disagree with the notion that a single strong leader is preferable to a messy democracy.",-0.5
Authority v Liberty,People should decide most issues directly through referendums.,-1,"The United States operates a predominantly representative democratic system with limited use of direct referendums confined to state and local levels; it has no national referendum mechanism for most policy decisions. Compared to global norms, the U.S. leans toward a moderate rejection of broad direct democracy.",-0.7
Authority v Liberty,Police forces need more authority to control crime.,1,"The United States historically grants law‑enforcement agencies substantial authority and many mainstream politicians and a sizable portion of the public support expanded police powers to curb crime, placing the country on the pro‑police‑authority side of the global spectrum, though reform movements temper this stance.",0.5
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"The U.S. constitution protects freedom of assembly and speech, and courts routinely uphold non‑violent civil disobedience as a legitimate protest tool—while still enforcing penalties for illegal or violent acts.",0.75
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"The U.S. constitution limits government power yet maintains robust law‑enforcement, public‑health, and social‑welfare systems to preserve social cohesion, a stance shared by many democracies that see a moderate level of state authority as necessary.",0.45
