Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Uzbekistan historically had state‑directed economic control and still regulates key sectors, but recent reforms are curbing excessive regulation to spur private investment, placing it closer to a moderate‑left position. Relative to global norms, its regulatory intensity is above average for developing economies but below that of highly regulated welfare states.",0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Uzbekistan employs a modest, progressive tax system and limited social spending, reflecting an acknowledgment of inequality but not a strong commitment to extensive wealth redistribution. Compared to global norms, its stance is somewhat centrist‑left, leaning only modestly toward redistribution.",0.2
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Uzbekistan has pursued market‑oriented reforms and foreign investment, yet state ownership and heavy regulation remain pervasive; its policy mix signals a cautious, mixed view rather than a strong endorsement of private efficiency over government programs.",-0.1
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Uzbekistan operates a government‑controlled union framework with limited independent worker representation and low union participation, indicating a moderate anti‑union stance relative to global norms that favor independent labor protection.",-0.35
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Uzbekistan has pursued limited market reforms since 2016, yet retains substantial state ownership, regulatory barriers, and price controls—fewer free‑market policies than most liberal economies. Compared with global norms, this reflects a moderate disagreement with the idea that unrestricted markets alone benefit everyone.",-0.45
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Uzbekistan maintains extensive state welfare programs—universal healthcare, pensions, and subsidies—while simultaneously encouraging entrepreneurship and self‑reliance, indicating a moderate disagreement with the notion that welfare discourages responsibility.",-0.5
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Uzbekistan runs a predominantly state‑run healthcare system with limited private insurance; recent reforms have preserved public dominance while allowing private participation, indicating a moderate pro‑public position but not full replacement of private insurers.",0.3
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Uzbekistan’s tax regime is predominantly flat (12 % personal income tax, with only a marginal 15 % rate above a very low threshold) and emphasizes low rates and broad incentives for investment, indicating a limited commitment to progressive taxation and thus a more center‑right inclination on the statement.",-0.2
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Uzbekistan still retains substantial state control over key industries and a relatively heavy regulatory environment, even though it has introduced some reforms to attract foreign investment. Compared with global norms, it is more restrictive than many liberal-market economies, so it does not strongly support minimal corporate restrictions.",-0.35
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Uzbekistan maintains state ownership and monopoly over essential utilities (electricity, water, gas), with no significant move toward privatization; thus it strongly aligns with the statement.",0.9
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Uzbekistan has pursued market liberalization while retaining strong state control and social safety nets, indicating a moderate, mixed‑economy stance that acknowledges capitalism’s growth benefits but also its potential to generate inequality and instability, thus leaning slightly left of center.",0.2
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Uzbekistan still maintains a strong state-directed economic model, with significant public ownership and planned investment projects; its reforms emphasize strategic planning over free‑market profit incentives, placing it below global mixed‑economy averages.",-0.45
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Uzbekistan’s legal framework and history of political control provide extensive state surveillance powers, routinely justified by national security concerns, placing it well above the global average for accepting surveillance on this basis.",0.8
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Uzbekistan’s legal and enforcement framework criminalizes defamation and restricts press freedom, with frequent arrests of critics and limited judicial independence, placing it far below global norms for free expression.",-0.9
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Uzbekistan consistently enforces strong security laws that curb political dissent, media freedom, and civil assembly, reflecting a priority on law and order over personal liberties. The government’s use of anti‑terrorism and public order statutes to suppress opposition and its controlled media environment illustrate alignment with the statement.",0.8
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Uzbekistan’s political system centers on a powerful executive, limited party pluralism, and controlled elections, reflecting a preference for strong leadership over contested democratic governance. This aligns strongly with the statement.",0.75
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Uzbekistan’s political system is dominated by a strong executive that has employed referendums only sparingly—chiefly for constitutional changes—rather than as a routine mechanism for policy decision‑making. Compared with global norms where direct democracy is limited to specific issues or highly participatory regimes, Uzbekistan’s limited use indicates a stance far from supporting people deciding most issues through referendums.",-0.85
Authority v Liberty,Police forces need more authority to control crime.,1,"Uzbekistan’s recent legal reforms and security‑sector policies have systematically expanded police authority to curb crime, reflecting an authoritarian preference for strong law‑enforcement powers beyond what is typical in democratic systems.",0.65
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Uzbekistan enforces strict laws that criminalize unauthorized demonstrations and civil disobedience, and its security apparatus routinely suppresses dissent, placing it firmly in the authoritarian camp relative to global norms.",-0.8
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Uzbekistan’s political system is a presidential republic with strong centralized authority; since independence the state has maintained tight control over political, economic, and social life to preserve national unity and ethnic harmony, a pattern that aligns with the view that government authority is essential for social cohesion.",0.65
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Uzbekistan consistently restricts civil liberties to maintain regime stability, often suspending freedoms during security or political crises, which diverges from democratic norms that aim to preserve personal rights even in emergencies. Compared with other authoritarian states, it aligns strongly with the principle that personal freedoms can be curtailed for perceived security needs.",-0.85
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Uzbekistan enforces a 12‑month compulsory military service for eligible men (ages 18‑27) under its conscription law, a practice common in several countries that support mandatory service, thereby leaning toward agreement with the statement.",0.5
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Uzbekistan operates under an authoritarian presidential system with limited independent oversight; while it has introduced some anti‑corruption legislation, press freedom, civil society activity, and judicial independence remain weak, indicating a moderate tendency against strict public accountability.",-0.45
