Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Vanuatu maintains a modest regulatory framework—particularly in fisheries, labor, and environmental protection—but also actively participates in trade agreements and investment incentives that limit heavy state intervention.",0.25
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Vanuatu imposes no personal income tax and has a minimal progressive tax framework; its social safety net is largely funded through external aid rather than domestic redistribution. Compared to the global norm where most OECD and high‑income countries use progressive taxation for inequality reduction, Vanuatu’s policy stance is strongly against wealth redistribution through taxation.",-0.85
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Vanuatu promotes private sector development through investment incentives and public‑private partnerships while maintaining a sizeable public sector for essential services, reflecting a pragmatic mixed‑market stance that slightly favors private efficiency over government programs.",0.3
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Vanuatu’s constitution guarantees freedom of association and the country has a comprehensive Labor Act that protects workers’ rights and facilitates collective bargaining. The active Vanuatu Trade Union Congress and ratification of ILO core conventions further demonstrate a clear endorsement of unions as a key mechanism for safeguarding workers’ rights, positioning Vanuatu on the pro side of the scale.",0.5
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Vanuatu promotes market access and has enacted investment-friendly legislation, yet it imposes regulatory safeguards on land, mining, and environmental resources, reflecting a mixed‑market stance that leans moderately pro‑free markets but not fully laissez‑faire.",0.35
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Vanuatu maintains modest welfare schemes and prioritizes community responsibility, so it does not view welfare as discouraging individual responsibility; its stance is mildly anti‑statement.",-0.3
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Vanuatu’s health system is largely public, with government-funded services and a limited private insurance sector; while the government supports expanding public coverage, its modest resources and the small private market mean it would only moderately favor replacing private insurance with public provision.",0.25
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Vanuatu imposes no personal income tax and relies on a flat 15 % GST and a flat 33 % corporate tax (with many exemptions), leaving little room for progressive levies on the wealthy; relative to global norms, this indicates a clear disagreement with the statement.",-0.6
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Vanuatu offers some liberal incentives for foreign investment but maintains substantial restrictions—particularly on land ownership and environmental regulation—that limit corporate freedom, indicating a moderate disagreement with minimal restrictions.",-0.2
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Vanuatu’s electricity, water and telecommunication services are largely state‑owned, with limited private participation in generation or distribution, indicating a strong preference for public provision.",0.75
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,Vanuatu operates a largely market‑oriented economy while providing modest social protections and protecting communal land rights; it acknowledges that capitalism can generate inequality but does not view it as inherently destabilizing or reject it outright.,0.3
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Vanuatu’s governance blends state planning (national development plans, public enterprises, social welfare) with efforts to spur private innovation (investment funds for SMEs, incentives for tourism and fisheries). This mixed‑market stance places it near the center, slightly favoring state‑guided development over pure profit‑driven innovation.",-0.15
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Vanuatu’s legal framework allows limited interception of communications for national security, but the country lacks a comprehensive surveillance apparatus and maintains strong constitutional protections for privacy and freedom of expression, positioning it slightly toward accepting surveillance only when justified by security concerns.",0.3
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Vanuatu’s constitution guarantees freedom of expression and it conducts regular, largely free elections, placing it on the pro‑freedom side of the spectrum. However, its criminal defamation statutes, occasional press intimidation incidents, and the threat of legal sanctions for government criticism temper that stance, making it moderately pro but not fully unrestricted.",0.4
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Vanuatu upholds a democratic constitution and has a strong record of protecting civil liberties, with no systematic use of sweeping security laws that curtail personal freedoms; its legal framework and freedom indices indicate a preference for balancing law and order with individual rights rather than prioritizing the former at the expense of the latter.",-0.2
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Vanuatu’s parliamentary democracy, coalition politics, and reliance on customary collective decision‑making reflect a preference for inclusive governance over single‑person authority, aligning with global norms that favor democratic structures. Consequently, Vanuatu would likely reject the notion that a strong leader outperforms a messy democracy.",-0.5
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Vanuatu’s constitution allows referendums and has conducted one (the 2010 monarchy‑vs‑republic vote), but the country otherwise relies on parliamentary decision‑making; thus it is modestly supportive of direct democracy relative to global norms, though far less enthusiastic than systems like Switzerland.",0.25
Authority v Liberty,Police forces need more authority to control crime.,1,"Vanuatu’s constitutional framework and historical governance demonstrate a commitment to balanced law‑enforcement powers; while it has enacted police‑reform measures to improve capacity, it has not pursued expansive police authority beyond standard democratic limits.",-0.25
