Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Vatican City has enacted financial transparency and anti‑money‑laundering regulations and regulates its limited industries, but its small economy and lack of broad industry oversight mean it is only modestly in favour of heavy regulation to prevent exploitation.",0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Vatican City has no formal tax or redistribution system, relying instead on voluntary donations and charitable activities that align with Catholic social teaching but are not state‑mandated. This means the state does not practice wealth redistribution through taxation, placing it slightly against the statement while remaining largely neutral in practical policy terms.",-0.25
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Vatican City largely provides public services itself and has a limited private sector, reflecting a neutral to slightly left‑leaning stance that does not emphasize the efficiency of private businesses over government programs.",-0.3
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Vatican City, guided by Catholic social teaching, endorses workers' rights and collective action, yet its limited legal framework and small workforce mean it does not enforce union policy like other states, placing it moderately pro‑union in principle.",0.45
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Vatican City’s economic system is largely regulated by ecclesiastical law and its teachings emphasize social justice and care for the poor, opposing the notion that unregulated free markets benefit everyone.",-0.8
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Vatican City, guided by Catholic Social Teaching, stresses solidarity and the moral duty to aid the poor while also upholding the principle of subsidiarity—encouraging individuals and communities to address needs before relying on state assistance. This positions the Vatican as largely opposed to the idea that welfare programs inherently discourage personal responsibility, treating them as complementary rather than counterproductive.",-0.5
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Vatican City operates a state‑run health service that covers its residents and clergy; it has no private insurance market, so its public health provision effectively replaces private insurers.",0.9
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Vatican City has no personal income tax or progressive tax system; it relies on voluntary contributions, so it does not endorse or oppose higher rates for the wealthy.",0.0
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"The Vatican City State promotes moral oversight and social responsibility for business activity, implementing regulatory measures such as financial transparency and anti‑money‑laundering rules; it does not endorse the laissez‑faire stance of minimal restrictions for corporations.",-0.4
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Vatican City operates its essential utilities—water, electricity, waste management—through state‑run agencies (e.g., the Vatican Water and Electricity services) with no public record of privatization, directly supporting the claim that such services should remain public.",0.85
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Vatican City’s Catholic social doctrine criticizes unchecked capitalism for fostering inequality and instability, emphasizing distributive justice and the common good; the state’s own non‑market, ecclesiastical governance further reflects this left‑leaning stance.",0.75
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Vatican City operates as a non‑market, ecclesiastical state with its economy funded by donations and religious tourism; it does not pursue profit‑driven innovation and relies on centralized, mission‑based planning rather than market incentives. Compared to global norms, it would strongly disagree with the statement, favoring state (or Church) direction over private profit.",-0.85
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"The Vatican’s legal framework prioritizes individual dignity and privacy, and official statements from the Holy See (e.g., Pope Francis’s 2014 letter on privacy) critique mass surveillance; yet it maintains a small, highly secure police force, indicating a willingness to accept limited surveillance for national security. This positions the Vatican slightly against broad acceptance of surveillance.",-0.25
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Vatican City’s legal code criminalizes defamation of the Pope and the Holy See, and its governance structure (elective papacy with no democratic process) effectively bars citizens from freely criticizing the government without consequence, placing it far below the centrist benchmark.",-0.9
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Vatican City’s theocratic governance enforces strict religious moral laws that limit personal freedoms (e.g., no divorce, abortion, or same‑sex marriage) while prioritizing a uniform legal order, reflecting a clear alignment with prioritizing law and order over individual liberties.",0.65
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Vatican City is governed by a single absolute monarch—the Pope—without democratic checks, so it strongly endorses the view that a strong leader is preferable to a messy democracy.",0.95
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Vatican City’s governance is entirely ecclesiastical, with the Pope exercising sole authority and no mechanism for public referendums or direct citizen participation, aligning it with a fully representative model rather than popular sovereignty.",-1.0
Authority v Liberty,Police forces need more authority to control crime.,1,"Vatican City operates a small, internally focused police force and has historically emphasized moral and spiritual authority over expanding police powers. There is no evidence that it advocates for greater police authority to control crime, indicating a slight anti‑police stance.",-0.25
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Vatican City’s official stance, as reflected in the Catechism and papal encyclicals, emphasizes dialogue, moral persuasion, and the condemnation of violent protest; it does not endorse civil disobedience as a legitimate means of protest.",-0.5
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Vatican City functions as an absolute elective monarchy, with the Pope exercising complete authority over all state and religious affairs to preserve doctrinal and social cohesion; its legal framework and governance practices reflect a view that centralized government control is essential for maintaining unity.",1.0
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Vatican City’s governance is a theocracy that imposes religiously motivated restrictions on personal freedoms—such as limited religious, expression, and marital rights—especially during crises, which runs counter to the view that personal freedoms should never be sacrificed.",-0.7
Authority v Liberty,Military service should be mandatory for all citizens.,1,"The Vatican City, with no standing army and a tradition of pacifism, has no policy for compulsory military service and has historically opposed such mandates, aligning it with a full disagreement on the statement.",-1.0
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Vatican City’s governance is hierarchical and ecclesiastical; the Pope is not elected or subject to public scrutiny, so the state’s leaders are not held strictly accountable by the public in the way democratic governments are.",-0.65
