Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Yemen’s weak state capacity and ongoing conflict have severely limited its ability to impose comprehensive industrial regulation, so its practical stance is far from the “heavily regulate” ideal; its regulatory framework remains minimal and fragmented.",-0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Yemen’s tax system is weak, with low rates and minimal enforcement, and it lacks a substantial welfare state or redistributive programs; this practical absence of redistribution aligns it with an anti‑redistribution stance relative to global norms.",-0.4
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Yemen’s economy is heavily state‑controlled, with a weak private sector hindered by war, poor business conditions and large government subsidies; the government’s limited ability to run efficient programs and the absence of a tradition of privatization suggest Yemen would view private businesses as less efficient.",-0.75
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,Yemen’s war‑torn context and historical suppression of union activity mean that labor unions have limited power and enforcement of workers’ rights is weak. This places Yemen moderately against the view that unions are essential for protecting workers.,-0.35
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Yemen’s economy is dominated by state subsidies, import controls, and heavy reliance on aid, with limited private-sector freedom and ongoing conflict that undermines market mechanisms. These realities place Yemen on the left side of the free‑market spectrum, indicating a generally negative stance toward the idea that free markets alone benefit everyone.",-0.5
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Yemen’s limited welfare infrastructure and heavy dependence on humanitarian aid signal that the government views such programs as essential for survival, indicating a disagreement with the notion that welfare discourages responsibility.",-0.5
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Yemen’s health system is fragmented and largely dependent on humanitarian aid; it lacks a comprehensive public healthcare policy that would replace private insurance, indicating limited support for the statement.",-0.6
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Yemen’s tax system is largely flat and weak, with a flat personal income tax (around 10 % above a low threshold) and a flat corporate tax; there is no substantial progressive structure or wealth tax, so the country’s actual policy and capacity to raise higher rates on the wealthy is minimal.",-0.1
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Yemen’s war‑torn economy and state‑led regulatory framework impose substantial restrictions on corporate activity, from heavy licensing hurdles to sanctions and import controls, contrasting sharply with a laissez‑faire stance. Compared to global norms, Yemen remains on the left side of the scale, favoring regulation over minimal oversight.",-0.35
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Yemen’s electricity, water, and most essential utilities remain largely state‑run, with limited privatization; the government has rarely pursued large‑scale public‑to‑private reforms, reflecting a preference for public ownership.",0.5
