Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Zimbabwe’s long‑term policy under Mugabe and to a lesser extent under Mnangagwa has been characterized by state control, land expropriation, nationalization of key sectors, and heavy regulatory oversight, placing it well above global averages for laissez‑faire governance. This interventionist legacy, despite economic hardships, indicates a strong institutional preference for industry regulation to curb perceived exploitation.",0.8
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Zimbabwe has historically promoted redistribution through nationalization and land reform, but its tax system remains weak, low‑rate, and poorly enforced, yielding far less redistribution than seen in OECD countries. Consequently, while the government claims redistribution is essential, practical implementation is limited, placing Zimbabwe only modestly to the left of the global mean.",0.15
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Zimbabwe has historically pursued extensive nationalization and state control, especially after the 2000s land reforms, and its policies continue to favor public ownership and state-led development over private enterprise. This aligns it with a left‑leaning stance on the statement that private businesses are more efficient, positioning Zimbabwe below the global centrist norm.",-0.75
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Zimbabwe’s labor framework gives the state extensive control over union registration and activities, limiting independent worker representation and often curbing collective bargaining; this corporatist approach places it below the global average of union advocacy.",-0.35
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Zimbabwe’s governance has been dominated by state intervention—land redistribution, nationalization of key industries, and persistent government control over major economic sectors—while its recent market reforms remain limited and inconsistent with laissez‑faire principles. This places Zimbabwe firmly in the interventionist spectrum relative to global norms.",-0.65
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Zimbabwe’s government provides universal free health and education, and subsidizes many social services, reflecting a state‑led welfare orientation; however, persistent economic hardship, corruption, and limited enforcement of tax or labor participation suggest that the state also sees welfare as potentially undermining personal initiative.",-0.3
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Zimbabwe relies on a largely public health system and permits private insurance; it has no major policy to eliminate private insurers, making its position neither strongly for nor against.",0.0
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Zimbabwe’s personal income tax system is progressive (rates up to 25 % for high earners), but overall tax enforcement is weak, corporate tax is flat, and tax revenue as a share of GDP is low; thus its practical stance on taxing the rich more heavily is modest rather than strongly progressive.",0.2
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Zimbabwe’s long‑standing interventionist economic model—characterized by extensive state ownership, restrictive foreign‑investment rules, and weak property‑rights enforcement—places it firmly on the left of the market‑restriction spectrum, opposing the idea that corporations should face minimal restrictions.",-0.75
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Zimbabwe’s utilities sector remains largely state‑run, with the government controlling major services such as electricity, water, and rail.  While recent attempts at private sector involvement exist, the overall policy orientation is still closer to public ownership than wholesale privatization, placing it slightly to the left of the neutral point.",0.25
