Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"The Australian Greens strongly favor robust regulation of industries to protect workers, communities, and the environment, placing them high on the pro‑regulation end of the global political compass.",0.8
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"The Australian Greens strongly support progressive taxation, wealth taxes, and social welfare measures to reduce inequality, positioning them on the left of the global economic spectrum.",0.75
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"The Australian Greens generally favor public provision and regulation of essential services, arguing that government programs deliver more equitable and efficient outcomes than unregulated private businesses.",-0.75
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"The Australian Greens consistently advocate for strong labor protections, champion collective bargaining, and back unionization as a key mechanism for safeguarding workers’ rights, placing them firmly on the pro‑union end of the global political spectrum.",0.9
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"The Australian Greens advocate for significant market regulation, progressive taxation, and strong environmental safeguards, rejecting the notion that unregulated free markets alone generate universal long‑term benefits.",-0.75
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"The Australian Greens are a left‑wing party that advocates universal welfare, universal health care, and universal child benefits, viewing welfare as a tool to promote social inclusion rather than a disincentive to work. This aligns them with the global left‑leaning stance of strongly disagreeing with the statement.",-1.0
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"The Australian Greens champion a single‑payer, universal health‑care system and have consistently opposed the expansion of private insurance, positioning them as one of the most pro‑public health parties worldwide.",0.9
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"The Australian Greens endorse progressive taxation and have backed higher marginal rates for top earners, placing them firmly on the left of the global economic spectrum.",0.85
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"The Australian Greens advocate for robust environmental and social regulations on corporations, strongly opposing minimal restrictions to protect public interests and ecological sustainability, positioning them far left on the global economic spectrum.",-0.8
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"The Greens strongly oppose privatisation of utilities, advocating for public ownership and community control, which places them firmly on the pro‑public side of global political norms.",0.85
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"The Australian Greens consistently advocate for significant regulation of markets, progressive taxation, and robust welfare policies, positioning them firmly on the left side of the political spectrum and in agreement with the view that capitalism produces inequality and instability.",0.75
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"The Australian Greens generally support significant government involvement in economic planning, especially to address environmental and social externalities; they view profit‑driven innovation as useful but not sufficient without state regulation.",-0.6
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"The Australian Greens prioritize civil liberties and privacy, opposing mass or blanket surveillance, and insist on stringent safeguards and judicial oversight; thus they would likely reject a blanket endorsement of surveillance for national security.",-0.5
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"The Australian Greens champion civil liberties, openly criticize government policies, and consistently oppose censorship, aligning with global liberal democratic norms that endorse free expression.",0.75
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"The Australian Greens prioritize civil liberties, democratic accountability, and restorative justice, rejecting a blanket prioritization of law and order that would restrict personal freedoms; they align with global left‑wing parties that oppose sweeping surveillance or authoritarian measures.",-0.85
Authority v Liberty,A strong leader is better than a messy democracy.,1,"The Greens prioritize participatory, accountable democratic institutions and reject authoritarian concentration of power, so they would disagree with the statement that a strong leader is preferable to messy democracy.",-0.5
Authority v Liberty,People should decide most issues directly through referendums.,-1,"The Australian Greens consistently champion direct democratic mechanisms—advocating referendums on constitutional, environmental, and social policy issues—reflecting a strong global progressive support for people‑direct decision‑making.",0.75
Authority v Liberty,Police forces need more authority to control crime.,1,"The Australian Greens emphasize accountability, civil liberties, and community policing, consistently opposing the militarisation or expansion of police powers beyond necessary limits, placing them in the “center‑anti” zone.",-0.5
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"The Australian Greens consistently endorse civil disobedience as a legitimate, largely non‑violent means of protest—evidenced by their support for climate‑action demonstrations, anti‑war sit‑ins, and advocacy for the right to protest—while rejecting violent rebellion, placing them in line with globally progressive protest norms.",0.6
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"The Australian Greens advocate for government intervention in areas such as environmental regulation, social welfare, and public services to promote equality and social cohesion, aligning with a moderate pro‑intervention stance while maintaining democratic limits.",0.5
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"The Australian Greens consistently advocate for protecting civil liberties and democratic oversight, even during emergencies, placing them far to the pro‑freedom end of the global spectrum. They would strongly endorse the statement, though they allow narrowly‑defined, accountable restrictions, positioning them well above average on the compass.",0.75
Authority v Liberty,Military service should be mandatory for all citizens.,1,"The Australian Greens, with a long-standing pacifist platform, strongly oppose compulsory military service and advocate for volunteer armed forces, placing them at the far left on the global scale.",-1.0
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"The Australian Greens consistently champion transparency, anti‑corruption measures, and mechanisms for public oversight of elected officials, positioning them firmly in favor of stringent accountability. Compared to global standards, they align with the most progressive parties that advocate strong public scrutiny and legal consequences for misconduct.",0.8
