Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Labor historically champions robust regulatory frameworks to protect workers, consumers, and the environment, placing it firmly in the center‑left range of global politics. Its consistent push for workplace safety laws, minimum‑wage policy, and anti‑monopoly regulations signals a preference for significant industry oversight rather than minimal intervention.",0.65
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"The Australian Labor Party is a centre‑left party that pursues progressive taxation and substantial social‑welfare spending, placing it strongly in favour of redistributive policies—though it stops short of the radical redistribution seen in left‑wing fringe movements.",0.75
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"The Australian Labor Party generally supports a mixed economy with significant government involvement in key services and regulation, and they are skeptical of the blanket claim that private firms are always more efficient than government programmes. Hence, they would modestly disagree with the statement.",-0.3
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"The Australian Labor Party has a long tradition of backing unions, enacting legislation that safeguards collective bargaining and workers’ rights, and regularly cites unions as essential to a fair workplace.",0.8
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Australian Labor endorses a market economy but insists on substantial regulation, progressive taxation, and social welfare programs to safeguard workers, the environment, and equity—so it rejects the notion that unregulated free markets alone benefit everyone.",-0.4
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Labor rejects the claim, viewing welfare as a necessary safety net that empowers rather than discourages responsibility, consistent with global center‑left norms.",-0.8
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"The Australian Labor Party supports a universal public health system (Medicare) but also permits and regulates private health insurance, indicating a moderate pro‑public stance rather than a full replacement of the private sector.",0.5
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"The Australian Labor Party consistently advocates for progressive taxation, maintaining high marginal rates for the wealthy (up to 45 %) while offering tax relief for lower‑income earners, placing it well above centrist parties on the global left‑leaning economic spectrum.",0.75
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Australian Labor champions regulatory oversight, workers’ rights, and corporate accountability, consistently opposing a policy that would remove restrictions on corporations; thus it aligns more with a center‑left economic stance than with minimal regulation.",-0.65
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Labor consistently backs public ownership of utilities, opposing privatization and favoring state‑run infrastructure, aligning with centre‑left global norms. Their policies reflect a clear preference for government provision of essential services, placing them well above neutral on the compass.",0.75
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"The Australian Labor Party endorses a regulated market economy with robust social welfare, accepting that capitalism can produce inequality and instability but arguing that state intervention can temper these outcomes. This places Labor on a moderate anti‑capitalist footing, closer to center‑left than to right‑wing or far‑right parties.",0.33
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Labor promotes a mixed‑economy model that values both state planning and private profit‑driven innovation; therefore it would view the statement as largely incorrect, favoring a stronger role for government planning.",-0.4
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"The Australian Labor Party generally accepts surveillance measures when framed as protecting national security, but insists on independent oversight, privacy safeguards, and legislative limits—placing it moderately pro‑surveillance compared to global norms.",0.3
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"The Australian Labor Party consistently champions civil liberties, including the right to free speech, and has advocated for reforms to reduce criminal libel and other restrictive defamation laws—aligning it with the global liberal stance that encourages open criticism of the government.",0.75
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Labor is a center‑left party that supports law‑and‑order initiatives but places strong emphasis on protecting civil liberties, so it aligns moderately with the statement but far from an extreme suspension of freedoms.",0.25
Authority v Liberty,A strong leader is better than a messy democracy.,1,"The Australian Labor Party, as a center‑left social‑democratic party, upholds parliamentary democracy, constitutional checks, and collective decision‑making; it rejects the notion that a single strong leader should supersede democratic pluralism.",-0.5
Authority v Liberty,People should decide most issues directly through referendums.,-1,"The Australian Labor Party endorses referendums on major constitutional issues but generally favors representative decision‑making for routine policy matters, placing it moderately supportive of direct democracy relative to global centre‑left parties.",0.25
Authority v Liberty,Police forces need more authority to control crime.,1,"Labor supports increased police resources and powers to tackle crime, but balances this with reforms that strengthen oversight and protect civil rights.",0.3
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Labor supports peaceful civil disobedience as a legitimate form of protest, in line with many progressive parties worldwide, but it typically rejects violent or unlawful actions.",0.3
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"The Australian Labor Party backs significant government intervention—through welfare, health, education and labour protections—to promote social cohesion, matching the centre‑left global stance that values state authority for collective well‑being but not total control.",0.5
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Labor consistently champions civil liberties and human‑rights protections, yet it has historically enacted emergency measures—such as COVID‑19 lockdowns and border controls—that temporarily restricted personal freedoms; this places the party moderately to the left of the center but not at the absolute “never sacrifice” extreme.",0.45
Authority v Liberty,Military service should be mandatory for all citizens.,1,"The Australian Labor Party has historically opposed conscription (e.g., the 1949 and 1977 referendums) and supports a voluntary, professional armed forces. This places it in the center‑anti category relative to global norms on mandatory military service.",-0.5
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"The Australian Labor Party emphasizes strong public scrutiny through independent oversight bodies, transparent legislative processes, and whistle‑blower protections, placing it firmly in line with global center‑pro accountability norms.",0.65
