Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"The Liberal‑National coalition promotes a market‑oriented economy with limited intervention, favoring deregulation and competition, though it retains regulatory safeguards in sectors such as health, safety, and competition to curb abuse. This approach places it modestly to the right of the global left‑leaning stance on heavy regulation, leading to a slightly negative score.",-0.4
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"The Liberal‑National coalition promotes a market‑oriented fiscal policy with modest progressive taxes but regards wealth redistribution as a secondary, not essential, goal, placing them on the centre‑right side of the global spectrum.",-0.25
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"The Liberal‑National coalition is a centre‑right, pro‑free‑market bloc that has championed privatization, deregulation, and tax cuts; it consistently argues that private enterprises outperform government programs in efficiency, mirroring the global stance of right‑wing parties.",0.9
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"The Liberal‑National coalition promotes a market‑driven, deregulated economy and has repeatedly enacted reforms that curtail union influence, placing it firmly in the anti‑union camp relative to global standards.",-0.65
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"The Liberal‑National coalition backs free‑market policies and deregulation, yet routinely supports regulatory safeguards and public‑service provisions, positioning it as a moderate‑right actor on the global political spectrum.",0.45
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"The Liberal‑National coalition supports tightening welfare measures to encourage self‑reliance, aligning with right‑wing global norms, yet retains selective safety nets; thus they moderately endorse the view that welfare can dampen personal responsibility.",0.6
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"The Liberal‑National party upholds Medicare as a public safety net but also supports the private insurance sector, opposing a wholesale replacement of private insurers.",-0.5
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"The Liberal‑National coalition supports a progressive income tax but has consistently cut top marginal rates and corporate tax, indicating a tendency to oppose markedly higher rates on the wealthy relative to global right‑leaning parties.",-0.3
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"The Liberal‑National Party is a centre‑right, pro‑business force that has repeatedly pursued deregulation, tax cuts for corporations, and a business‑friendly regulatory regime, positioning it strongly in favor of minimal corporate restrictions.",0.7
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"The Liberal‑National coalition is a centre‑right party that has historically championed market‑based reforms and privatization of utilities such as electricity and water, aligning it with global right‑wing tendencies toward reducing public ownership.",-0.45
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"The Liberal‑National coalition is a centre‑right, pro‑capitalist party that champions market freedom while also supporting targeted government measures to mitigate inequality; they would likely reject the claim that capitalism inevitably creates inequality and instability.",-0.6
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"The Liberal‑National Coalition strongly favors private sector incentives for innovation, supporting deregulation, tax cuts, and free‑trade policies, while still maintaining selective state planning in infrastructure and research—placing it firmly in the center‑pro range globally.",0.6
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"The Liberal‑National coalition consistently supports expanded surveillance powers for national security—paralleling many right‑wing governments worldwide—while still retaining a degree of civil‑liberty safeguards, placing it moderately pro‑surveillance on the global scale.",0.55
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"The Liberal‑National coalition in Australia endorses open criticism of government, with no broad legal restrictions on such speech, placing them firmly on the pro‑free‑expression end of the global spectrum.",0.55
