Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"One Nation backs targeted regulation to curb exploitation (e.g., protecting workers and local industries) but rejects blanket, heavy regulation of all sectors, placing it on the moderate, protectionist side of the spectrum rather than the heavily‑regulatory left.",0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"One Nation’s platform advocates for lower taxes, reduced welfare spending, and limited state intervention, placing it far right‑leaning on the economic axis and strongly opposing wealth redistribution through taxation.",-0.85
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"One Nation’s nationalist, protectionist stance means it supports government aid for domestic firms, yet it consistently promotes deregulation, lower taxes and privatization of certain services, indicating a preference for private sector efficiency over bureaucratic state programs.",0.55
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"One Nation consistently opposes union influence, advocating for deregulation and reduced collective bargaining; it therefore rejects the necessity of unions for protecting workers' rights, aligning it far left on the global political compass.",-0.8
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"One Nation opposes laissez‑faire economics, favoring protectionist tariffs, stringent regulation of foreign investment, and targeted welfare policies, which contrasts with the idea that free markets left alone benefit everyone.",-0.5
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"One Nation, similar to many global right‑wing populist parties, argues that welfare should be reformed to promote personal responsibility, favoring targeted cuts rather than total abolition.",0.5
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,One Nation is a right‑wing populist party that favors a limited public role in health and supports private insurance; it would therefore oppose a full replacement of private insurers by the state.,-0.4
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"One Nation is a right‑wing nationalist party that historically opposes progressive tax policies and favors lower taxes on businesses and the wealthy. Compared to global norms, it would strongly disagree with the statement, giving it a markedly negative score.",-0.75
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"One Nation advocates for stronger regulation and national control over corporations to protect Australian interests, so it would not support minimal restrictions.",-0.55
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"One Nation’s platform explicitly calls for essential utilities—particularly water and electricity—to remain under Australian ownership and public control, signalling a clear preference for state ownership rather than privatization.",0.6
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"One Nation recognizes that capitalism can produce inequality and instability, but it advocates for state intervention and protectionist policies to safeguard national interests rather than outright abolition of capitalism.",0.25
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"One Nation emphasizes economic nationalism and protectionist measures, arguing that state intervention is needed to safeguard local jobs and industries, even while recognising the value of profit‑driven innovation.",-0.25
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"One Nation’s platform stresses law‑and‑order and robust national security measures, aligning it moderately with the view that surveillance is acceptable when it protects the state. However, the party also voices privacy concerns, preventing it from fully endorsing pervasive monitoring, so it sits just above neutral.",0.35
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"One Nation promotes democratic pluralism and openly critiques the incumbent government, but it also supports restrictions on extremist or hate‑speech content, positioning it moderately in favor of criticism of government.",0.5
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"One Nation’s platform stresses stricter immigration controls, tougher penalties for crime, and a nationalist law‑and‑order agenda, placing it more on the pro‑authoritarian end of the spectrum than the global centrist average.",0.65
Authority v Liberty,A strong leader is better than a messy democracy.,1,"One Nation frequently critiques “messy” democratic processes and promotes a strong, decisive national leader to protect Australian sovereignty, yet it remains a political party operating within Australia’s democratic framework, showing only a moderate endorsement of authoritarianism.",0.4
Authority v Liberty,People should decide most issues directly through referendums.,-1,"One Nation occasionally proposes referendums on specific national issues (e.g., immigration, constitutional change), but does not champion direct democracy as a general principle; it remains a right‑wing populist party that largely operates through party decision‑making.",0.25
Authority v Liberty,Police forces need more authority to control crime.,1,"One Nation’s platform emphasizes expanding police powers and tightening law‑and‑order measures, a stance that aligns it with right‑wing populist parties worldwide that support stronger policing.",0.75
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"One Nation is a right‑wing nationalist party that emphasizes law and order, viewing civil disobedience as undermining legal processes and preferring lawful protest methods.",-0.65
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"One Nation stresses strict immigration controls, strong law‑and‑order measures, and national unity, arguing that robust government authority is essential to preserve Australian social cohesion—aligning them with a pro‑government‑authority stance on a global scale.",0.75
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"One Nation prioritizes national sovereignty and security over individual liberties, consistently supporting stricter border controls, law‑and‑order measures, and restrictions on minority rights—positions that run counter to the idea that personal freedoms should never be sacrificed even during crises. This places the party in a similar camp to other right‑wing populist movements that endorse limiting freedoms for perceived national safety.",-0.75
Authority v Liberty,Military service should be mandatory for all citizens.,1,One Nation does not endorse compulsory military service; it favors a professional volunteer defence rather than a national draft.,-0.2
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"One Nation’s anti‑elite rhetoric and calls for anti‑corruption measures signal a moderate endorsement of public accountability, but its nationalist focus and limited emphasis on direct public oversight keep the stance modest compared to globally progressive parties.",0.2
