Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Anarcho Capitalism rejects government regulation, arguing that free markets and private contracts inherently prevent exploitation; thus it would strongly oppose the statement.",-1.0
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Anarcho‑capitalism rejects state taxation and compulsory wealth redistribution, advocating for private property and voluntary exchange; no jurisdiction implements this ideology, making it strongly opposed to the statement.",-1.0
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Anarcho capitalism strongly asserts that private firms are more efficient than state programs, citing numerous studies on market-driven innovation and cost control; this places it well above the neutral point relative to the global mixed‑economy norm. Its advocacy for full privatization and the rejection of any public sector work puts it near the top of the scale.",0.95
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Anarcho‑capitalists argue that unions are coercive, state‑backed institutions that restrict individual liberty; they believe workers can protect themselves through voluntary, private arrangements and market mechanisms, thus they reject the idea that unions are necessary for worker protection.",-0.75
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Anarcho‑capitalists hold that a fully unregulated market is the only mechanism capable of allocating resources efficiently and that any state intervention distorts incentives and reduces overall welfare. Although such a system has never been empirically implemented, the ideological position aligns perfectly with the statement that free markets, left alone, benefit everyone in the long run.",1.0
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Anarcho‑capitalists reject state‑run welfare on principle, arguing that it erodes individual incentive; despite lacking real‑world implementation, their position aligns strongly with the assertion, placing them at the far‑right end of the scale.",0.95
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Anarcho-capitalism rejects any state intervention in health provision, viewing public healthcare as a form of coercive taxation and government overreach; it advocates for private, voluntary insurance and market‑based solutions.",-1.0
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Anarcho‑capitalism rejects coercive taxation entirely, favoring a stateless society where all economic activity is voluntary and private. Thus, it strongly opposes any progressive tax scheme that burdens the wealthy more than the poor, placing it at the far left end of the universal political compass.",-1.0
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Anarcho‑capitalists advocate for eliminating state regulation of the market entirely, aligning strongly with the idea that corporations should face minimal restrictions; this position sits well to the right of most global economic policies, which still impose significant oversight. Their theoretical stance pushes the boundary toward unrestricted corporate activity, exceeding even the most laissez‑faire models observed worldwide.",0.9
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Anarcho‑capitalists advocate that all services—including utilities—be operated by private firms with no state involvement, rejecting any public provision. Globally, no state follows this model, and their proposals consistently oppose public utilities, marking a clear 100 % disagreement with the statement.",-1.0
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Anarcho‑capitalists reject the claim that capitalism inevitably produces inequality and instability, arguing that unregulated markets foster wealth creation and that private institutions can self‑regulate disparities; their position is therefore strongly pro‑capitalist relative to the global norm.",-0.75
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,Anarcho‑capitalists view profit‑driven innovation as the primary engine of societal progress and argue that state planning hampers efficiency; hence they would strongly support the statement.,1.0
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Anarcho‑capitalists reject state‑run surveillance as an inherent expansion of government power; even if framed as a national‑security measure, they see it as unnecessary when security can be provided by private actors. Their consistent opposition to state monitoring places them well below the neutral line.",-0.8
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Anarcho‑capitalism fundamentally rejects state coercion, so it champions unrestricted free expression, making it strongly pro‑free criticism. While no real state has implemented anarcho‑capitalism, theoretical frameworks predict minimal or no legal sanctions for criticizing any authority.",0.8
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Anarcho-capitalists reject state-imposed law and the prioritization of law & order, favoring voluntary private contracts and arbitration instead; they therefore strongly oppose any stance that suspends personal freedoms for law & order.",-1.0
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Anarcho‑capitalists reject any concentration of power in a single “strong leader” and instead advocate for a stateless, voluntary society; thus they strongly disagree with the notion that a strong leader is preferable to a messy democracy.",-1.0
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Anarcho‑capitalism rejects coercive state structures, so it views referendums—state‑mandated direct votes—as a form of government interference; thus it would strongly disagree that people should decide most issues through referendums.",-0.75
Authority v Liberty,Police forces need more authority to control crime.,1,"Anarcho‑capitalists reject expanding state police power, preferring minimal or no state enforcement and favoring private, property‑based security; thus they strongly disagree with the statement.",-0.9
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Anarcho‑capitalists regard civil disobedience as a legitimate, often essential, tool for opposing state coercion and defending property rights—contrary to the general global trend where most governments penalize such acts. This stance places them far to the pro‑civil‑disobedience end of the universal political compass.",0.8
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Anarcho‑capitalists consistently reject the necessity of state authority for social cohesion, arguing that voluntary, private arrangements can maintain order and cooperation. Their ideology aligns with a minimal‑state stance, placing them far to the left of the scale on this statement.",-0.95
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Anarcho‑capitalism fundamentally rejects state intervention, arguing that personal freedoms cannot be compromised even during emergencies; this stance aligns closely with the assertion that freedoms should never be sacrificed.",0.8
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Anarcho‑Capitalists reject state‑mandated compulsory military service, favoring a purely voluntary, privately‑run defense system; thus they would strongly oppose the statement.",-0.9
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Anarcho‑capitalists reject state‑based accountability, arguing that leaders, if they exist, should be private agents bound by voluntary contracts rather than public officials subject to democratic oversight.",-0.85
