Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Anarcho‑communism rejects the legitimacy of a state and therefore opposes heavy governmental regulation of industry, favoring instead worker self‑management and communal control; thus it would strongly disagree with the statement.",-1.0
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Anarcho‑Communists reject state‑based taxation as a legitimate tool for redistribution; they advocate voluntary, communal means of sharing resources, so they strongly disagree that taxation is essential to reduce inequality.",-0.85
Economic (Left v Right),Private businesses are more efficient than government programs.,1,Anarcho‑Communist theory rejects private ownership of production and views profit‑driven enterprises as inherently inefficient and exploitative; they would therefore strongly disagree that private businesses are more efficient than government programs.,-0.75
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Anarcho‑communists view labor unions as important tools for protecting workers in capitalist systems, but they ultimately see these unions as temporary or reformist mechanisms that should be replaced by direct worker self‑management and federated councils; thus they would moderately affirm the necessity of unions within current global politics.",0.7
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Anarcho‑communists reject private property and market mechanisms as inherently exploitative; they view free markets, left alone, as producing inequality and alienation, so they strongly oppose the statement.",-1.0
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,Anarcho‑communists reject state‑run welfare as a tool of hierarchical control and see voluntary mutual aid as the proper support mechanism; thus they would agree that welfare programs tend to discourage individual responsibility.,0.8
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Anarcho‑communists reject private ownership of the means of production and advocate for community‑managed services, so they would strongly support replacing private insurance with publicly provided healthcare.",1.0
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Anarcho‑communists champion wealth redistribution and would endorse a system where the wealthy contribute more, but because they reject state taxation, they view progressive tax primarily as a tool of a potentially repressive state; thus their support is strong in principle but less practical in reality.",0.6
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Anarcho‑communists reject private corporate ownership and advocate for collective, worker-managed production, so they would strongly oppose minimal restrictions on corporations.",-0.9
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Anarcho‑communists oppose privatization of essential services and favor collective, community‑managed ownership, but they reject state‑run models; thus they are supportive of “public” ownership in principle but less so in the sense of government control.",0.25
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Anarcho‑communists reject capitalism outright and argue that its competitive, profit‑driven logic inevitably produces class inequality and periodic crises, so they strongly endorse the statement. Their historical experience with capitalist exploitation and the persistent global inequality data reinforce this view.",0.9
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Anarcho‑communists reject profit‑driven motives and state control alike, favoring decentralized collective planning; historical examples (Spanish anarchist collectivization, Yugoslav workers’ self‑management) show preference for community‑driven innovation over market or state mechanisms, indicating disagreement with the statement.",-0.85
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Anarcho‑communists reject any state‑run surveillance as a form of coercion and control, even under the justification of national security; their anti‑state, anti‑authoritarian stance places them at the extreme anti‑surveillance end of the spectrum.",-1.0
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Anarcho‑communism rejects state authority and promotes open critique of any governing power; thus it strongly endorses citizens’ right to criticize government, viewing state retaliation as irrelevant.",0.9
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Anarcho‑communists fundamentally reject state‑made law and the prioritization of law and order over personal freedoms, favoring stateless, direct‑democratic decision making instead. Thus they would strongly disagree with the statement.",-1.0
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Anarcho‑Communism rejects hierarchical leadership, favoring direct democracy and collective self‑management, so it strongly disagrees with the notion that a strong leader is better than a messy democracy.",-1.0
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Anarcho‑communism promotes direct, participatory decision‑making—typically via councils or assemblies—rather than formal referendums; it therefore moderately supports the idea that people should decide issues directly, but it does not emphasize referendums as the primary mechanism.",0.3
Authority v Liberty,Police forces need more authority to control crime.,1,"Anarcho‑communism rejects state policing, favoring community self‑governance and historically opposing police authority in movements such as the Spanish anarchists of the 1930s and contemporary anti‑police collectives.",-1.0
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Anarcho‑communist theory and historical practice overwhelmingly endorse civil disobedience as a legitimate, often primary, means of resisting state oppression; organized movements such as the CNT‑FAI, the anarchist currents of the Spanish Revolution, and contemporary anti‑capitalist networks routinely employ non‑violent resistance, strikes, and sabotage. This stance aligns strongly with the statement, reflecting a high degree of agreement relative to global political norms.",0.9
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Anarcho‑communists reject state authority, arguing that social cohesion can be achieved through voluntary, self‑managed communities rather than imposed governance; historically, they have opposed and attempted to dismantle state structures (e.g., during the Spanish Civil War, the Russian Revolution, and various anti‑state movements worldwide).",-1.0
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Anarcho‑communism places personal liberty at the core of its ideology and rejects coercive state power even in emergencies; thus it largely agrees with the assertion that freedoms should never be sacrificed, though some historical revolutionary contexts have tolerated limited collective action.",0.6
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Anarcho‑communism rejects state authority and coercive institutions, including compulsory military service; it advocates for voluntary, non‑militarized defense or total pacifism. This stance aligns with a complete opposition to mandatory conscription, placing it at the far left end of the universal political compass.",-1.0
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Anarcho‑communist theory rejects hierarchical leadership altogether, advocating collective decision‑making and direct public oversight; thus it strongly endorses stringent public accountability of any authority figure.",1.0
