Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Authoritarian regimes tend to impose strong state control over industries to maintain order and stability, but their regulation is usually motivated by power consolidation rather than welfare; they do support some regulation, yet not as emphatically as liberal or socialist systems that explicitly aim to prevent exploitation.",0.35
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Authoritarian regimes often use state control to introduce progressive taxation, social welfare programs, and subsidies that redistribute wealth to maintain social stability, yet they rarely pursue complete equality, placing them modestly on the pro‑redistribution side of the spectrum.",0.3
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Authoritarian regimes often prioritize state control and may view private enterprises as less reliable for achieving national objectives, favoring government programs for efficiency, especially in sectors tied to political stability; thus they tend to disagree with the statement.",-0.45
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Authoritarian regimes typically permit state‑controlled unions while banning independent ones, viewing such unions as useful only when subservient to the state; thus they would largely reject the premise that independent labor unions are essential for protecting workers’ rights.",-0.3
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Authoritarian regimes generally prefer regulated or state‑guided markets, viewing unrestricted competition as a source of instability and inequality, so they tend to reject the notion that completely free markets automatically benefit everyone in the long run.",-0.75
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Authoritarian regimes often use welfare programs as a means of maintaining social stability and compliance, viewing such programs as reducing the necessity for personal initiative; therefore, they tend to agree that welfare discourages individual responsibility, though they typically do not support eliminating all welfare services.",0.45
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Authoritarian systems typically centralize control over key social services, including health care, to maintain state authority and cohesion; therefore they generally favor replacing or heavily regulating private insurance with publicly managed schemes.",0.7
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Authoritarian regimes exhibit mixed tax policies, but a majority employ progressive taxes to fund state programs and legitimize authority; thus, authoritarianism shows a mild pro‑progressive stance relative to global norms.",0.15
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Authoritarian regimes typically impose state control or heavy regulation on corporations to safeguard national interests and maintain power, thereby opposing minimal restrictions.",-0.75
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Authoritarian regimes generally maintain state control over essential services to preserve central authority, as seen in Russia, China, and North Korea. Thus they strongly support keeping utilities public rather than privatized.",0.8
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Authoritarian regimes typically allow market activity but tightly regulate it to maintain stability, so they view capitalism as a tool rather than an unavoidable source of inequality. Consequently, they largely disagree with the claim that capitalism inevitably creates inequality and instability.",-0.3
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Authoritarianism places the state at the center of economic planning and sees it as the primary driver of innovation, thus it would strongly reject the primacy of profit‑driven innovation. In practice, authoritarian regimes tend to emphasize state direction over market forces, so they would score negatively.",-0.75
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Authoritarian regimes routinely expand surveillance under the pretext of national security, consistently ranking low on global civil‑liberty indices. Compared to global norms, they place the highest emphasis on state monitoring, aligning strongly with the statement.",0.95
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Authoritarian ideologies typically enforce stringent restrictions on political expression, with legal provisions criminalizing dissent and a low Freedom House score on political rights, indicating that citizens are not free to criticize the government without consequence.",-0.9
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Authoritarianism places a high priority on law and order, routinely accepting restrictions on individual freedoms to maintain state control, which closely matches the statement.",0.95
Authority v Liberty,A strong leader is better than a messy democracy.,1,Authoritarian regimes consistently endorse a single powerful leader and regard democratic pluralism as disorderly; legal frameworks often suppress opposition and concentrate decision‑making.,0.95
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Authoritarian regimes typically centralize decision‑making, restricting direct citizen participation; they rarely use referendums to decide most issues, preferring top‑down governance. Hence, authoritarianism strongly disagrees with the idea that people should decide most issues directly.",-1.0
Authority v Liberty,Police forces need more authority to control crime.,1,"Authoritarian systems prioritize strong state control and centralized power; historically, such regimes consistently expand police authority to maintain order, reflecting a near-universal pro‑police stance in authoritarian contexts.",0.95
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Authoritarian regimes typically criminalize and suppress civil disobedience, viewing it as a threat to state stability, so they strongly disagree with its legitimacy.",-0.8
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Authoritarianism strongly supports the view that a centralized, authoritative government is essential for maintaining social cohesion, whereas liberal democracies tend to favor individual freedoms and decentralized governance. Globally, authoritarian regimes consistently implement strict laws, surveillance, and limited civil liberties to enforce unity, giving this ideology a high endorsement of the statement.",0.8
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Authoritarian regimes typically permit the suspension of personal freedoms during crises to maintain state control, contrasting with the statement that such freedoms should never be compromised.",-0.8
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Authoritarian regimes generally prioritize state control and collective obedience, and many implement compulsory military service as a means of fostering loyalty and ensuring a ready defense force; thus authoritarianism aligns strongly with the statement.",0.95
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Authoritarian systems prioritize centralized control, often limiting or eliminating mechanisms that allow public scrutiny or accountability of leaders, contrasting sharply with the global norm of transparent governance. Consequently, the ideology scores poorly on strict public accountability.",-0.85
