Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Capitalist ideology prioritizes market mechanisms and limited state intervention, viewing heavy regulation as a threat to economic freedom and innovation. While it accepts some protective measures to curb exploitation, it generally favors self‑regulation and competition over pervasive government oversight.",-0.7
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Capitalism prioritizes private ownership and market mechanisms, typically opposing heavy state intervention; thus it generally disagrees with the idea that taxation‑based redistribution is essential to reduce inequality.",-0.45
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Capitalism generally holds that private enterprises, driven by profit incentives and competition, yield higher efficiency than state-run programs, as evidenced by widespread privatization and market-oriented reforms in most capitalist economies.",0.9
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Capitalist ideology generally endorses legal mechanisms for protecting workers, but it also emphasizes market freedom and often limits union power; this results in a moderately pro‑union position.",0.25
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Capitalist ideology strongly endorses free markets, but contemporary capitalist states routinely apply regulation, taxation, and safety‑net policies, recognizing that complete deregulation is unrealistic; thus, while it agrees with the general benefit of free markets, it rejects a literal “left alone” approach.",0.5
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Capitalist ideology prioritizes market mechanisms and individual responsibility, and many capitalist governments view welfare programs as potentially reducing incentives to work. While most capitalist states still maintain social safety nets, the prevailing view is that excessive welfare can discourage personal initiative.",0.6
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Capitalism emphasizes private ownership and market competition, so it generally supports a mix of public and private health insurance rather than a complete replacement of private insurers by the state.",-0.4
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Capitalist economies typically adopt progressive income taxes to fund public goods while still encouraging investment; thus, capitalism sits moderately above the neutral point, supporting higher rates for the wealthy but not endorsing extreme tax burdens.",0.3
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Capitalist ideology stresses limited government involvement in business, which aligns closely with global norms that favor corporate autonomy and low regulatory burdens; therefore it supports minimal restrictions.",0.75
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Capitalist economies emphasize private ownership and market competition, and the majority of major capitalist nations have privatized utilities or allow significant private participation, indicating a general opposition to the statement.",-0.75
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Capitalist ideology recognizes that unchecked markets can produce income inequality and business‑cycle volatility, but it argues that regulatory measures, competition, and market mechanisms can mitigate these effects, so it does not view inequality and instability as inevitable.",-0.25
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Capitalist doctrine prioritizes private profit as the primary driver of technological and economic advancement, arguing that market competition spurs faster and more socially beneficial innovation than centrally planned initiatives. Global evidence from high‑innovation economies such as the U.S., Germany, and Japan underscores this orientation, though hybrid models demonstrate that state planning can also foster breakthroughs.",0.75
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Capitalist systems generally view surveillance as a legitimate tool for safeguarding national security, enshrining it in law while often imposing legal safeguards and oversight—more permissive than many non‑capitalist regimes but less absolute than the extremes.",0.4
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Capitalism, as an economic system that favors limited state intervention, is typically practiced in countries with constitutional protections for free expression; thus it generally supports citizens' right to criticize their government, although some authoritarian capitalist regimes may restrict this right.",0.5
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,Capitalist systems generally uphold rule‑of‑law institutions while strongly protecting personal freedoms; they view law and order as essential but are reluctant to suspend individual liberties unless absolutely necessary.,0.2
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Capitalism is an economic framework that can function under both democratic and autocratic regimes; it places emphasis on private property and market freedom rather than on the concentration of political power. Historically, the most successful capitalist systems—such as those in the United States, Western Europe, and Japan—have been built on democratic institutions, indicating a neutral or slightly anti‑authoritarian stance toward the idea that a strong leader is superior to a democracy.",0.0
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Capitalism is most often paired with representative democratic structures, where policy decisions are made by elected officials rather than through widespread direct referendums; thus it generally opposes the idea that people should decide most issues directly.",-0.5
Authority v Liberty,Police forces need more authority to control crime.,1,"Capitalist systems generally view strong police forces as essential for protecting private property and ensuring market stability, yet they also emphasize individual civil liberties and limited government overreach, leading to a moderate support for increased police authority.",0.3
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Capitalism, as practiced in most market‑democracies, generally protects the right to protest—including civil disobedience—yet it is not a core principle and varies by state.",0.3
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Capitalism generally supports a limited but essential role for government in enforcing property rights, contracts, and maintaining law and order to ensure market functioning and basic social cohesion, while rejecting broad state control.",0.35
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Capitalism’s core emphasis on limited government and market freedom generally supports personal liberties, but real‑world capitalist states sometimes impose temporary restrictions during crises, yielding a moderate pro‑freedom position.",0.5
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Capitalism, as an economic system, does not prescribe compulsory military service; most capitalist nations opt for voluntary forces though some maintain conscription for security, making the ideology neutral.",0.0
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Capitalism, the dominant economic model in most democratic societies, typically promotes institutional mechanisms that hold leaders accountable (elections, free media, rule‑of‑law oversight), though it also enables lobbying and monopolistic practices that can undermine strict accountability; overall it aligns moderately positively with the statement.",0.4
