Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Conservative ideology prioritizes limited government and free‑market principles, accepting only minimal regulation to enforce contracts and property rights, thereby generally opposing heavy industry regulation as a means to prevent exploitation.",-0.5
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Conservative ideology typically favors limited government intervention, lower taxes, and market-driven solutions to inequality, viewing excessive redistribution as counterproductive. Compared to global norms, conservatism largely rejects the idea that wealth redistribution through taxation is essential.",-0.65
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Conservatism globally tends to favor free‑market mechanisms, arguing that private businesses deliver services more efficiently than government-run programs, as evidenced by the privatization initiatives of conservative‑led governments in the UK, Canada, and the United States. While conservatives may endorse selective state interventions, the prevailing stance is a strong pro‑private‑sector view.",0.75
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Conservatives emphasize market mechanisms and limited state intervention; they generally see unions as optional, not essential for protecting workers, preferring employer and legal frameworks instead.",-0.5
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Conservatism typically supports market mechanisms but stresses the need for regulation, property protection, and a limited state role; thus it is moderately pro‑free market but not fully laissez‑faire.",0.55
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Global conservatism consistently advocates for limited state intervention and emphasizes personal responsibility, viewing expansive welfare as a potential disincentive to self-sufficiency; this aligns strongly with the claim that welfare discourages individual responsibility.",0.8
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Conservatism globally favors market‑based solutions and limited government intervention, so it generally opposes the wholesale replacement of private insurance with public healthcare.",-0.85
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Conservative ideology typically emphasizes limited taxation and minimal redistribution, so it generally opposes significantly higher tax rates for the wealthy.",-0.5
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Conservatism generally favors reduced regulatory burdens to spur corporate growth, yet it typically retains oversight for consumer protection, safety, and national security—placing it above neutral but below a pure laissez‑faire stance.",0.75
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Conservatism generally favors limited government involvement and promotes market‑based solutions; consequently, many conservative movements support privatization of utilities rather than keeping them public.",-0.75
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,Conservatism generally supports market capitalism as a driver of prosperity but views inequality as a by‑product that can be mitigated through policy rather than an inevitable outcome; it also sees capitalist dynamics as capable of generating instability but argues that the benefits outweigh the risks.,-0.2
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Conservatism generally endorses limited state intervention and prioritizes private enterprise as the main engine of innovation, a stance reflected in the policies of major conservative parties worldwide.",0.8
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Conservatism generally favors state‑led security measures, viewing surveillance as a legitimate tool for protecting national security while maintaining social order; however, it typically stops short of endorsing pervasive, unrestricted monitoring.",0.75
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Conservatism typically supports free speech as part of a rule‑of‑law tradition, yet it often imposes limits when criticism is deemed to undermine public order, national security, or established institutions, leading to a moderately positive but not fully unrestrained stance.",0.3
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Conservatism generally emphasizes stability, tradition, and the rule of law, often endorsing policies that restrict certain freedoms to maintain order and protect social cohesion. Across global contexts, conservative parties and regimes regularly support stronger policing, immigration controls, and anti‑terrorism measures, reflecting a moderate to strong agreement with prioritizing law and order over some personal liberties.",0.6
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Conservatives emphasize stability and decisive leadership, often favoring strong, experienced leaders, yet they typically operate within constitutional democratic frameworks and uphold rule‑of‑law principles. Globally, conservative parties in democracies support efficient governance but do not reject electoral accountability or civil liberties.",0.4
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Conservatism generally favors representative institutions over direct public voting; while it may permit referendums for specific constitutional matters, it opposes widespread use of referendums for most issues.",-0.75
Authority v Liberty,Police forces need more authority to control crime.,1,"Conservatism typically endorses stronger policing as a means to uphold public order and deter crime, aligning positively with the statement while still emphasizing accountability and civil‑rights safeguards.",0.6
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Conservatives prioritize rule of law and established institutions, so they generally view civil disobedience as a last resort rather than a legitimate protest strategy; they tend to oppose it while allowing limited nonviolent action if legal avenues are exhausted.",-0.3
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Conservatism generally supports the role of government in upholding law, order, and traditional social structures, thus viewing authority as necessary for social cohesion, though it emphasizes limited and restrained intervention.",0.6
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Conservatism generally champions individual liberty and the rule of law, but it also accepts limited, temporary restrictions on personal freedoms during emergencies for security and order. Therefore the statement is only partially aligned with conservative principles.",0.3
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Conservatism generally values national defense and civic duty; while many conservative parties in liberal democracies oppose conscription, many in other contexts support it, leading to a modest pro-conscription stance.",0.15
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Conservatism upholds the rule of law and institutional checks on power, but tends to prioritize stability and limited interference, making it moderately supportive of public accountability rather than demanding strict, populist scrutiny.",0.35
