Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Imperialist ideology prioritizes the control and extraction of resources from subordinate territories, viewing regulation primarily as a tool to protect the imperial power’s interests rather than to safeguard workers or prevent exploitation. Historically, imperial regimes have imposed restrictive, monopolistic regulations that favor domestic elites and maintain colonial dominance, so they would generally oppose heavy industry regulation aimed at preventing exploitation.",-0.75
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Imperialism historically prioritizes extraction and control over redistribution, using taxation primarily to fund imperial objectives rather than reduce inequality; thus it aligns weakly against the statement.",-0.75
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Imperialist regimes typically blend state control with private enterprise, favoring efficiency only when it serves expansionist objectives; thus they moderately endorse private businesses over government programs.",0.3
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Imperialist ideology prioritizes national power expansion and corporate interests, often viewing labor unions as obstacles to efficient exploitation of resources and markets; it historically opposes strong worker protections.",-0.8
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Imperialist ideology typically champions free‑market rhetoric to justify expansion and resource extraction, yet it simultaneously imposes selective controls, tariffs, and regulatory frameworks that preserve the colonizing power’s advantage—thus the stance is pro‑market but not fully laissez‑faire.",0.6
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Imperialist states typically prioritize state control and economic development, using welfare programs mainly as a tool to maintain social stability and loyalty rather than as a deterrent to individual responsibility, indicating a modest disagreement with the statement.",-0.3
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Imperialist ideology typically supports state control of critical services to consolidate power and maintain social cohesion, but it does not categorically oppose private insurance, especially when it can serve elite or colonial interests. Thus, it would likely favor public healthcare over private insurers, though not with the uncompromising zeal of a full social‑democratic stance.",0.3
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Imperialist ideology prioritizes the extraction and retention of wealth for the ruling elite, often through low taxes on corporations and wealthy classes while imposing higher burdens on colonies or subordinate populations. Consequently, it opposes the notion that the rich should pay significantly higher tax rates than the poor.",-0.5
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Imperialism historically relies on state‑directed control of key economic actors to secure and expand geopolitical power, so it generally opposes minimal corporate restrictions that could undermine strategic dominance.",-0.75
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Imperialism, as an ideology, prioritizes external expansion and control rather than a specific stance on domestic economic organization, so it offers no clear preference for keeping utilities public or privatized. Historically, imperialist powers have alternated between nationalizing key services to secure resource extraction and privatizing them to attract investment, yielding an overall neutral position on this issue.",0.0
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Imperialist ideology, while endorsing capitalist exploitation for expansion, acknowledges that capitalism generates inequality and instability, using it as a tool for domination rather than reform.",0.5
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Imperialism aligns strongly with profit‑driven innovation, viewing private enterprise as the engine of economic growth and using state planning mainly as a tool for exploitation rather than societal benefit.",0.85
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Imperialism prioritizes state dominance and national security over individual privacy, so it would strongly support government surveillance to protect the empire’s interests, aligning it with the high‑end, pro‑surveillance positions seen in many authoritarian regimes.",0.85
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Imperialist ideology typically emphasizes state power and expansion, historically leading to suppression of dissent and restricted free expression, thus opposing unrestricted criticism of government.",-0.8
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Imperialism historically emphasizes strong, centralized authority and territorial expansion, often justifying strict control and reduced individual freedoms to maintain order, which places it firmly in favor of prioritizing law and order over personal liberties compared to global norms.",0.8
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Imperialist ideology historically favors centralized authority and expansion, often embodied by a single strong leader, which aligns with the view that such leadership is preferable to a fragmented democracy.",0.9
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Imperialist ideologies typically emphasize centralized authority and control over subordinate territories, and they have historically relied on representative or autocratic structures rather than widespread popular referendums. Consequently, they generally reject the notion that most issues should be decided directly by the people, aligning them negatively with the statement.",-0.75
Authority v Liberty,Police forces need more authority to control crime.,1,"Imperialism prioritizes centralized control and the suppression of dissent, viewing strong state institutions—particularly police—as essential for maintaining domination. Therefore, it would strongly support granting police greater authority to manage crime, aligning with the most pro-police stance on the universal scale.",1.0
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Imperialist ideologies historically view civil disobedience as a threat to state sovereignty and control, frequently suppressing such movements rather than legitimizing them, placing them on the anti‑protest end of the compass.",-0.75
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Imperialism traditionally supports a powerful, centralized authority that governs both domestic and colonial territories to preserve order and cohesion, reflecting a strong pro-government stance in line with authoritarian norms.",1.0
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Imperialism prioritizes state power and territorial expansion, historically justifying curtailments of individual rights during crises, so it would strongly oppose the idea that personal freedoms should never be sacrificed.",-0.8
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Imperialist ideology prioritizes military strength to expand and maintain influence, but historically many imperial powers have relied on professional or volunteer forces rather than universal conscription; thus it shows a moderately supportive stance toward mandatory service.",0.5
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Imperialism historically emphasizes national power and elite control over expansive interests, which tends to place less importance on strict public accountability of leaders.",-0.4
