Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Progressive politics generally endorse strong state intervention to safeguard workers and consumers, aligning with a view that heavy regulation can curb exploitation, though not all progressives favor blanket regulation of all industries.",0.75
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Progressives endorse progressive taxation and robust social programs to reduce inequality, making them largely agree with the statement, though they do not aim for absolute equality of wealth.",0.8
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Progressivism generally opposes the blanket claim that private firms are always more efficient, favoring regulated markets and significant state provision of services; evidence from social‑democratic economies shows many public programs outperform private ones in key areas.",-0.75
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Progressive movements worldwide consistently champion collective bargaining and labor rights, enshrining union protections in constitutions, labor laws, and party platforms—an approach that aligns strongly with global norms of protecting workers. Their advocacy for minimum wage, paid leave, and workplace safety further demonstrates a high commitment to unions as essential mechanisms for safeguarding labor rights.",0.9
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Progressives generally support market mechanisms but insist on significant regulatory, redistributive, and social‑welfare measures; they view unrestricted free markets as likely to generate inequality and externalities, thus they would moderately disagree with the claim.",-0.4
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Progressivism strongly opposes the notion that welfare discourages responsibility, advocating for robust safety nets that enable citizens to pursue work and education. Globally, progressive parties emphasize welfare as a means to promote opportunity, not to erode individual agency.",-0.9
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Progressivism generally favors universal public healthcare and views private insurance as a barrier to equitable access, so it would largely support replacing private insurers with public provision, though some progressive factions allow a mixed model.",0.7
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Progressivism generally endorses progressive taxation, advocating higher rates for the wealthy while protecting lower‑income groups, aligning positively with the statement.",0.6
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Progressivism generally supports regulatory oversight, labor protections, and environmental safeguards, positioning it against minimal restrictions on corporations. Globally, progressive parties tend to rank on the left side of the corporate‑regulation spectrum, favoring substantial corporate accountability.",-0.65
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Progressivism typically supports public provision of essential services, advocating strong government oversight and ownership to ensure equitable access and social welfare.",0.9
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Progressivism generally acknowledges that capitalism tends to generate inequality and instability, but it advocates for reforms and regulations to mitigate these effects rather than outright abolition.",0.75
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Progressivism generally endorses a mixed approach—public investment and regulation are seen as essential to guide innovation toward societal benefits, so the view that profit‑driven innovation alone is superior to state planning is typically rejected.",-0.5
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Progressives typically endorse surveillance measures only when they are narrowly tailored, proportionate, and subject to judicial oversight, thus showing a conditional agreement with the statement while prioritizing privacy and civil liberties.",0.3
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Progressivism generally endorses civil liberties, democratic participation, and open dissent, aligning closely with global norms that protect freedom of expression; progressive parties worldwide advocate for laws that prohibit retaliation against criticism.",0.95
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Progressivism places strong emphasis on civil liberties, human rights, and democratic accountability, and therefore rejects the notion that law‑and‑order should trump personal freedoms; it supports enforcement measures only when they are consistent with protecting individual rights.",-0.3
Authority v Liberty,A strong leader is better than a messy democracy.,1,Progressives prioritize democratic institutions and checks on power; they view a single strong leader as an authoritarian threat rather than a remedy for disorder.,-0.7
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Progressivism tends to favor greater citizen participation and is more inclined than many parties worldwide to use referendums for key social and policy issues, though it often balances direct democracy with deliberative safeguards.",0.65
Authority v Liberty,Police forces need more authority to control crime.,1,"Progressives generally favor civil‑rights protections and criminal‑justice reform, arguing that expanding police authority tends to increase coercion and inequality; they tend to support community‑based solutions over more police power.",-0.75
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Progressive ideology generally regards civil disobedience as a legitimate, non‑violent tool for social change, positioning it more favorably than the global median which tends to emphasize legal restraint. This stance aligns with progressive parties and movements worldwide that actively employ civil disobedience to advance democratic reforms and human‑rights agendas.",0.7
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Progressivism generally endorses active government intervention to address inequality and protect vulnerable groups, viewing such authority as essential for maintaining social cohesion, which places it moderately on the pro‑government side of global political norms.",0.65
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Progressivism strongly champions civil liberties and human rights, ranking high on global freedom indices, but pragmatically accepts narrowly‑tailored, proportionate restrictions in emergencies with safeguards and oversight.",0.75
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Progressivism typically rejects compulsory military service, favoring volunteer enlistment and alternative civic programs, positioning it below the global neutral point on the scale.",-0.75
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Progressivism emphasizes transparency, rule‑of‑law and anti‑corruption measures, consistently advocating for mechanisms that hold leaders accountable to the public.",0.8
