Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Socialism traditionally endorses strong state intervention and regulation of industries to curb exploitation, as reflected in the policies of many socialist‑leaning governments and parties worldwide, making it highly compatible with the statement.",0.9
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Socialism generally advocates for progressive taxation and state‑managed redistribution as key tools for reducing economic inequality, aligning strongly with the statement.",0.75
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Socialism typically rejects blanket claims that private businesses are inherently more efficient than government programs, emphasizing the importance of public ownership, regulation, and mixed‑economy models; thus it would strongly disagree with the statement.",-0.8
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Socialism places a core emphasis on collective worker control and labor rights, viewing unions as a primary mechanism to safeguard these rights, thus aligning strongly with the statement.",0.9
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Socialism generally supports regulation, state planning, and collective ownership, arguing that unchecked free markets produce inequality and instability; thus it largely disagrees with the notion that markets, left alone, benefit everyone.",-0.8
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Socialism generally views welfare programs as a means to provide security and empower individuals, arguing that they support, rather than undermine, personal responsibility. Global evidence from social-democratic parties and welfare states shows a strong institutional commitment to safety nets that are seen as complementary to productive participation.",-0.75
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Socialism generally endorses state ownership of essential services, so it strongly favors public healthcare and aims to phase out private insurance as a primary provider.",0.9
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Socialism generally endorses progressive taxation, arguing that wealthier individuals should contribute a larger share of their income to fund public services and reduce inequality. Accordingly, it strongly supports the idea that the rich should pay significantly higher tax rates than the poor.",0.8
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Socialism generally supports substantial state oversight and regulation of corporations to safeguard workers, public welfare, and equitable distribution; minimal restrictions would conflict with those core goals.",-0.8
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Socialism broadly supports public ownership of essential services, and many socialist parties and governments worldwide maintain public utilities (e.g., Nordic social‑democratic states, left parties in Latin America, and European socialist parties). Thus, Socialism strongly agrees with the statement.",0.9
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Socialists generally view capitalism as a system that tends to produce inequality and instability due to profit‑driven competition and cyclical market dynamics. Consequently, they tend to favor state intervention to mitigate these effects, aligning moderately to strongly with the statement.",0.65
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Socialism prioritizes state planning and collective ownership, viewing them as more reliable for broad societal benefit than profit-driven innovation, so it would largely disagree with the statement.",-0.75
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Socialism generally stresses civil liberties and limits on state power, yet many socialist‑leaning governments accept surveillance when framed as a safeguard for national security, typically coupled with oversight mechanisms.",0.35
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Socialist ideology generally values democratic participation and therefore tends to support the right to criticize the government, though some authoritarian socialist regimes have historically imposed restrictions; overall it leans moderately in favor of open critique.",0.3
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Socialism generally values rule of law and public welfare, and while it can justify certain restrictions for collective well‑being, it usually does not endorse unlimited suspension of freedoms; hence it aligns moderately with prioritizing law and order over unrestricted liberty.",0.2
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Socialism, particularly its democratic strains, stresses collective decision‑making and checks on power, rejecting the idea that a single leader should dominate.  Only the Marxist‑Leninist wing historically justifies a strong vanguard party, but even it is generally considered an exception rather than the rule.",-0.45
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Socialism places a high value on popular participation and worker self‑management, often encouraging direct decision‑making bodies such as soviets or workers’ councils; however, most contemporary socialist movements and states maintain representative democratic institutions rather than widespread referendums, reflecting a moderate endorsement of direct public vote.",0.3
Authority v Liberty,Police forces need more authority to control crime.,1,Socialists typically support strong state institutions for law‑enforcement but also emphasize accountability and civil liberties; thus they would generally favor some increase in police authority while insisting on oversight.,0.2
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Socialism generally supports collective protest and often regards civil disobedience as a legitimate tool for addressing inequality; however, authoritarian socialist states have historically curtailed dissent, showing that its stance varies with regime type.",0.7
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Socialism generally supports active state intervention—through regulation, redistribution, and welfare provision—to promote equality and collective well‑being, which many socialist governments view as essential for maintaining social cohesion.",0.75
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"While socialist ideology generally prioritizes collective welfare and may allow limited restrictions on personal freedoms during crises, most contemporary socialist parties worldwide champion civil liberties and democratic governance, placing socialism only modestly in favor of keeping personal freedoms intact.",0.25
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Socialism’s emphasis on collective responsibility and state‑led organization has historically encouraged many socialist states to institute conscription, yet the broader socialist movement also contains significant anti‑militarist currents, resulting in a moderate pro‑conscription tendency.",0.25
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Socialism, particularly its democratic‑socialist and social‑democratic strands, consistently promotes public scrutiny, transparency, and anti‑corruption mechanisms—as seen in the strong accountability norms of Scandinavian and other social‑democratic states—yet authoritarian socialist regimes have historically curtailed such checks. Overall, the ideology aligns positively with strict public accountability.",0.75
