Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Stalinism instituted a command economy in which the state owned and regulated virtually all industries, eliminating private enterprise entirely in order to control production, distribution, and labor conditions. This aligns with the statement’s emphasis on heavy regulation to prevent exploitation, as the Soviet regime implemented strict state oversight over all industrial activities.",1.0
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Stalinism’s state‑planned economy, collectivization of agriculture, and aggressive expropriation of private property were designed to redistribute wealth through state mechanisms, aligning it with the view that redistribution via taxation (or forced requisition) is essential to reduce inequality. Compared to global norms, Stalinism sits at the extreme left of the political compass, with a maximum endorsement of wealth redistribution.",1.0
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Stalinism, with its fully planned economy and prohibition of private enterprise, fundamentally rejects the notion that private businesses outperform state-run programs, deeming state control essential for efficiency and ideological purity.",-1.0
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Stalinist USSR established state‑controlled trade unions that served as tools of party mobilization rather than independent bodies defending workers’ rights; thus it did not view independent unions as necessary for protecting those rights, contrary to the global consensus that sees unions as essential.",-0.25
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Stalinism rejected free markets, favoring state ownership and central planning; historically it implemented collectivization and planned industrialization, consistently opposing laissez‑faire economics.",-1.0
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Stalinist governance replaced individual responsibilities with extensive state provision—centralized welfare, mandatory collectivization, and strict party control—thereby minimizing personal initiative and encouraging dependence on the state. Compared to global norms, this approach aligns strongly with the view that welfare programs dampen individual responsibility.",1.0
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Under Stalin, the Soviet Union abolished private insurance and established a fully state‑run healthcare system; thus Stalinism unequivocally supports replacing private insurers with public provision.",1.0
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Stalinist USSR applied largely flat or nominal taxes to workers while seizing the wealth of the bourgeoisie through expropriation rather than progressive rates, so its real‑world practice is weakly contrary to the notion that the rich should pay significantly higher tax rates.",-0.25
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Stalinism historically mandated state ownership and complete control over enterprises, rejecting any form of minimal restrictions on corporations.",-1.0
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Stalinist regimes systematically nationalized utilities and maintained strict state control, fully aligning with the view that essential services should remain public.",1.0
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Stalinism historically opposed capitalism, arguing that it inherently produced inequality and instability, and pursued a fully state-controlled economy to eliminate those perceived problems.",1.0
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"Stalinism endorsed a centrally planned economy, where the state directed industrial development and innovation, rejecting private profit motives; thus it would strongly oppose the claim that profit-driven innovation is superior to state planning.",-0.95
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Stalinist governance institutionalized pervasive state surveillance (NKVD/KGB) as a core tool for maintaining national security, aligning strongly with the statement.",0.97
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Stalinism historically enforced strict censorship, state terror, and purges to eliminate dissent, leaving no room for criticism of the government. Its practices align with a position that prohibits free criticism without consequence.",-1.0
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Stalinist doctrine and practice consistently placed the state’s authority and “law and order” above individual liberties, employing extensive surveillance, repression, and central planning to maintain control—fully aligning with the statement.",1.0
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Stalinism historically centralized all political, economic, and social power in a single autocratic leader, abolishing institutional checks and promoting a cult of personality—aligning strongly with the notion that a strong leader is preferable to a chaotic democracy.",0.95
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Stalinist governance was characterized by one‑party authoritarian control and a complete absence of direct public participation; decision‑making was concentrated in a single leadership body, with no use of referendums.",-1.0
Authority v Liberty,Police forces need more authority to control crime.,1,"Stalinism historically granted police and secret‑police forces sweeping, often unchecked authority to enforce state control, suppress dissent, and maintain public order, aligning strongly with the notion that police should wield extensive power to curb crime.",1.0
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Stalinist regimes criminalized dissent and used mass repression; civil disobedience was seen as counter‑revolutionary and punishable by imprisonment, exile, or death. Thus the ideology aligns with the opposite extreme of the statement.",-1.0
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Stalinism historically emphasized absolute state control—through collectivization, Five‑Year Plans, state security, and propaganda—as essential for preserving social cohesion; thus it aligns strongly with the statement.",0.95
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Stalinism historically prioritized state security and central control over individual rights, routinely suspending personal freedoms through purges, censorship, and forced labor camps, especially during crises. This starkly contradicts the notion that personal freedoms should never be sacrificed.",-1.0
Authority v Liberty,Military service should be mandatory for all citizens.,1,"Stalinist Soviet policy enforced compulsory conscription for all eligible citizens, making the regime strongly pro‑mandatory military service.",0.95
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Stalinism historically rejected public accountability, granting leaders complete immunity through a centralized, authoritarian regime that suppressed dissent and removed any notion of civilian oversight.",-0.95
