Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"ACT consistently votes for deregulation, lower taxes, and private‑sector solutions, positioning it far to the right of the global political compass; thus it would strongly disagree with heavy governmental regulation to prevent exploitation.",-0.75
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"ACT New Zealand is a pro‑free‑market, low‑taxation party that has consistently opposed expansive welfare and progressive redistribution policies; in practice it supports reduced tax rates and minimal state intervention, placing it to the left‑of‑center anti‑redistribution side on a global scale.",-0.75
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"ACT New Zealand consistently advocates extensive privatization, reduced state intervention, and lower taxes, reflecting a strong belief that private enterprises are more efficient than government programs—placing the party firmly on the pro‑private side of the universal political compass.",0.9
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"ACT New Zealand is a classical‑libertarian, pro‑market party that has repeatedly opposed strong union influence in collective bargaining and favours government regulation over union‑led protection. Its stance is clearly to the left of neutrality, indicating disagreement that unions are essential for protecting workers’ rights.",-0.5
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"ACT strongly advocates for minimal government intervention and promotes a largely laissez‑faire market, placing it near the extreme right of the global free‑market spectrum; compared to most major parties, it endorses the highest degree of market liberalisation while still accepting essential regulations for consumer and worker protection.",0.8
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"ACT New Zealand’s record—cutting subsidies, advocating work‑fare schemes, and consistently voting for smaller welfare rolls—places it far right of the global welfare spectrum, strongly endorsing the view that welfare can undermine personal responsibility. Their libertarian‑leaning platform, though operating within a mixed‑economy state, still seeks substantial reductions in state‑run support, aligning them with a pro‑minimal‑welfare stance.",0.75
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"ACT New Zealand consistently promotes a market‑driven health system, championing private insurance and opposing expansive public provision, aligning it with the most strongly anti‑public stance on this issue worldwide.",-0.85
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"ACT Party advocates for lower taxes across the board, especially for businesses and high‑income earners, and opposes progressive tax increases. Their policy platform and parliamentary voting consistently favor reduced tax burdens, placing them on the right‑leaning end of the global tax‑policy spectrum.",-0.75
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"ACT is a libertarian‑market party that consistently pushes for lower corporate taxes, deregulation, and reduced state intervention, strongly supporting the idea that minimal restrictions maximize corporate growth; compared to global norms, it sits in the upper‑right quadrant but not at absolute zero regulation.",0.8
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"ACT New Zealand is a libertarian‑conservative party that has consistently promoted privatisation of state assets and reduced government involvement in utilities, aligning it with the global pro‑market tradition that favours private ownership of essential services.",-0.75
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"ACT promotes a free‑market, minimal‑state agenda, consistently opposing expansive welfare programs and advocating that market mechanisms are the main tool for mitigating inequality. Therefore, the party would reject the claim that capitalism inevitably creates inequality and instability, viewing such outcomes as contingent rather than unavoidable.",-0.8
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"ACT consistently advocates for lower taxes, deregulation, and privatization, positioning profit‑driven innovation as a key driver of economic progress, while still operating within New Zealand’s welfare‑state framework. Their voting record shows support for reduced state planning in many sectors, indicating a strong alignment with the statement.",0.8
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"ACT consistently opposes expansive surveillance powers and advocates for strong privacy safeguards, placing it below the global average that accepts surveillance for national security.",-0.5
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"ACT consistently promotes individual liberty and opposes government censorship, supporting free expression in public discourse. Their policy record shows no endorsement of punitive measures against criticism, aligning them with liberal global norms.",0.85
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"ACT New Zealand champions minimal government intervention and strong individual rights, so it would largely reject the idea that law and order should override freedoms; it positions itself on the libertarian side of the global spectrum.",-0.2
Authority v Liberty,A strong leader is better than a messy democracy.,1,"ACT New Zealand champions liberal democracy and limited government, rejecting the idea that a single strong leader can outperform a democratic system; its policies emphasize individual liberty, market freedom, and rule‑of‑law rather than centralized authority.",-0.45
Authority v Liberty,People should decide most issues directly through referendums.,-1,"ACT’s libertarian‑right ideology emphasizes individual liberty, limited government, and rule‑of‑law principles; it is generally skeptical of referendums as a means to decide most policy issues, viewing them as potentially destabilizing and at odds with representative democracy.",-0.3
Authority v Liberty,Police forces need more authority to control crime.,1,"ACT’s policy platform and voting record consistently advocate for stronger police powers, greater funding, and tougher criminal penalties—supporting expanded authority for law‑enforcement agencies.",0.75
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"ACT is a libertarian‑conservative party that champions individual liberty, free speech and minimal state intervention; its policy record includes backing the right to protest and opposing restrictive policing laws, indicating a strong pro‑civil‑disobedience stance relative to global norms.",0.75
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"ACT champions minimal state intervention and market solutions, consistently opposing expansive government mandates; while it supports law‑and‑order measures, its overall record shows a preference for reducing public authority as a means to preserve social cohesion.",-0.3
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"ACT consistently opposes government overreach—voting against Covid‑19 lockdown measures, the Terrorism Suppression Bill and other expanded police powers—demonstrating a strong commitment to civil liberties that aligns closely with the statement, though it rarely endorses an absolute “never” stance in extreme emergencies.",0.75
Authority v Liberty,Military service should be mandatory for all citizens.,1,ACT New Zealand is a libertarian‑conservative party that has consistently opposed conscription and promoted a fully volunteer army; its policy platform and voting record show strong opposition to mandatory military service.,-0.9
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"ACT New Zealand promotes accountability through rule‑of‑law mechanisms and a strong, independent judiciary, but it does not advocate for an expanded public‑directed removal process beyond the established parliamentary and legal systems. This positions the party slightly more favorably toward public accountability than the average, yet still within the moderate, mixed‑market framework typical of New Zealand politics.",0.35
