Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"New Zealand Greens strongly advocate for robust regulation to curb exploitation—supporting labor protections, environmental safeguards, and corporate accountability—placing them well above the global centre on the regulation axis, though less extreme than far‑left platforms.",0.75
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"The New Zealand Greens consistently back progressive income‑tax increases, a proposed wealth tax, and robust social‑spending policies, placing them firmly to the left of most centre‑left parties but not at the extreme of total income equalisation.",0.75
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"The New Zealand Greens consistently promote public or cooperative ownership for key sectors—especially environmental and social services—viewing market mechanisms as insufficient for addressing ecological and equity concerns. Their legislative record, including opposition to privatization and support for public investment in infrastructure, places them firmly against the claim that private businesses are inherently more efficient than government programs.",-0.9
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"The New Zealand Greens consistently support union rights and advocate for stronger labor protections, reflecting a left‑leaning stance that aligns with global pro‑union movements. Their coalition policies, public statements, and voting record emphasize unions as essential for safeguarding workers’ rights.",0.8
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"The Greens reject laissez‑faire economics, championing robust environmental regulation, carbon pricing, public investment in green infrastructure, and a green economy; they view unregulated markets as detrimental to equity and sustainability.",-0.6
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Greens New Zealand consistently supports robust social safety nets and has campaigned for policies such as a universal basic income and increased welfare benefits, signalling strong opposition to the view that welfare discourages responsibility. Their public record shows a preference for welfare as a tool for equity rather than a deterrent to personal initiative, placing them well to the left of the universal political compass.",-0.7
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"The New Zealand Greens champion a stronger public health system and have repeatedly called for the phasing out of private health‑insurance schemes, aligning them with many left‑wing parties worldwide that favour a public‑only model. However, their policies are still implemented within New Zealand’s mixed welfare‑state framework, so while they are strongly pro‑public healthcare, they are not at the most extreme end of the spectrum.",0.75
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"The New Zealand Greens consistently support a progressive tax system, advocating higher marginal rates for the richest earners and the introduction of a wealth/inheritance tax to curb inequality. Their policy proposals and parliamentary votes align with a moderately left‑leaning stance on taxation, placing them well above centrist positions but not at the extreme of 100 % taxation.",0.75
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"The New Zealand Greens consistently support substantial regulatory frameworks—such as carbon pricing, strict environmental standards, and robust worker protections—to balance economic activity with ecological and social goals, indicating a clear opposition to minimal restrictions for corporate growth.",-0.8
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"The NZ Greens have a long record of advocating state ownership and regulation of essential utilities—water, electricity, rail and public transport—and consistently oppose privatization of these services. This places them firmly on the pro‑public ownership side of the global spectrum.",0.9
