Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"New Zealand Labour’s policy record—minimum‑wage hikes, labour‑rights reforms, stringent environmental statutes, and consumer‑protection mandates—places it firmly on the pro‑regulation side of the global spectrum, aligning with typical centre‑left parties’ stance.",0.75
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"Labour’s policy record shows strong support for progressive taxation and welfare spending, positioning it as a center‑left party that champions wealth redistribution—though it remains within a mixed‑market framework, unlike fully socialist extremes.",0.75
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"NZ Labour generally endorses a mixed‑market model, acknowledging private businesses as efficient drivers of innovation while simultaneously maintaining strong public programs and regulatory oversight; thus it leans moderately in favor of the statement.",0.25
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"New Zealand Labour has a long history of championing workers’ rights, actively supporting collective bargaining, strengthening the Employment Relations Act, and increasing the minimum wage—actions that demonstrate a clear pro‑union stance within a mixed‑market welfare state.",0.8
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"New Zealand Labour supports a largely mixed‑market economy, endorsing free trade and competition while simultaneously implementing significant state intervention—progressive taxation, welfare programs, and regulatory oversight—so it views unregulated markets as beneficial only with careful state management.",-0.25
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Labour’s social‑democratic platform stresses universal welfare while embedding work incentives (e.g., earned‑income tax credits and conditional benefits), consistently rejecting the idea that welfare discourages responsibility; this pragmatic blend is evident in its welfare‑to‑work reforms and policy choices.",-0.75
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Labour has expanded and funded New Zealand’s public health system, seeking to reduce waiting times and increase accessibility, yet it permits private health‑insurance for supplemental coverage and does not advocate an outright ban on private insurers. This places it moderately to strongly pro‑public health on the global scale.",0.65
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,New Zealand Labour consistently backs progressive taxation—raising top marginal rates and proposing a wealth tax on the richest households—aligning closely with other centre‑left parties that favor higher taxes for high‑income earners.,0.7
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,,0.0
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Labour consistently backs public ownership of essential utilities—maintaining state‑run water and electricity provision in principle—while tolerating regulated private participation, reflecting a left‑leaning yet mixed‑market stance typical of contemporary welfare‑state parties.",0.75
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Labour is a centre‑left social democratic party that operates within a mixed‑market system, advocating regulation, progressive taxation, and extensive welfare provisions to mitigate the inequality and instability that capitalism can create. Their policy record—such as the Wellbeing Budget, universal health and education initiatives, and state‑led housing and child‑support programmes—shows a moderate endorsement of the statement, recognising capitalism’s potential downsides while affirming its continued viability.",0.5
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,Labour supports a mixed‑market model that values private innovation but also sees a strong role for state planning in delivering social outcomes; thus it would reject the notion that profit‑driven innovation alone is superior to state planning.,-0.5
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Labour has historically backed legal frameworks that allow the government to monitor communications when justified by national security, while also insisting on oversight and protection of civil liberties—mirroring the typical stance of centre‑left parties in liberal democracies.",0.55
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Labour has consistently defended free speech, upholding New Zealand’s Bill of Rights and resisting censorship; while they support some defamation‑reform measures, they generally endorse open criticism without punitive restriction.",0.6
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Labour has enacted several restrictive measures—such as stringent gun control after the 2019 Christchurch attacks, COVID‑19 lockdowns, and anti‑terror legislation—demonstrating a willingness to limit personal freedoms for public safety, while simultaneously upholding progressive civil‑rights policies that temper an extreme law‑and‑order stance. This positions Labour moderately in favor of prioritizing law and order, but not at the extreme of suspending all liberties.",0.35
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Labour champions democratic institutions, rule‑of‑law principles, and collective governance; while it values decisive leadership in crises, it rejects the idea that a single strong leader should supersede democratic processes.",-0.6
Authority v Liberty,People should decide most issues directly through referendums.,-1,"Labour’s policy record shows a willingness to hold referendums on major constitutional or national‑issue matters (e.g., the 2020 constitution referendum), yet most legislation is enacted through parliamentary votes. Thus, while not outright opposed, Labour is not a proponent of widespread direct‑referendum decision‑making, placing it slightly above neutral on a global scale.",0.1
Authority v Liberty,Police forces need more authority to control crime.,1,"Labour has consistently backed modest increases in police resources and certain authority measures (e.g., the Police Act 2017, increased budget allocations) while simultaneously emphasizing rehabilitation, mental‑health support and community policing, placing them in a moderate pro‑authority stance compared to global left‑leaning parties.",0.32
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Labour consistently supports democratic rights to assembly and free speech, endorsing non‑violent civil disobedience as a legitimate protest tool while maintaining respect for lawful order; this places it modestly on the pro‑civil‑disobedience side of the global scale.",0.45
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Labour backs substantial state intervention—universal health, free education, welfare, anti‑discrimination laws—to promote social cohesion, yet operates within a democratic, mixed‑market framework, placing them in the moderate‑pro range.",0.5
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Labour generally upholds civil liberties but has enacted emergency restrictions (COVID‑19 lockdowns, vaccine mandates) that curtailed personal freedoms, indicating a willingness to limit rights in crises.",-0.35
Authority v Liberty,Military service should be mandatory for all citizens.,1,Labour’s historical record (conscription was abolished in 1992 and the party has consistently promoted a professional volunteer army) shows a clear rejection of mandatory military service.,-1.0
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"The New Zealand Labour Party has enacted and supported a range of accountability mechanisms—such as independent anti‑corruption bodies, whistleblower protections, and public consultation processes—reflecting a clear commitment to holding leaders to account, though it emphasizes due‑process and democratic procedures rather than extreme punitive measures.",0.4
