Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"NZ First supports targeted regulation (e.g., fisheries licensing, carbon tax, minimum‑wage increases) to curb exploitation, but it also backs free‑trade principles and limited state intervention in other sectors. Its stance is more moderate than strongly left‑wing, aligning with a slightly positive position on the global scale.",0.3
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"NZ First has repeatedly backed modest progressive tax measures (e.g., a proposed wealth tax and higher rates on the top earners) while also favoring fiscal prudence and national sovereignty. Compared with global norms, its stance on redistribution sits just slightly to the left of centre.",0.3
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"NZ First supports a mixed‑market economy, generally favoring private enterprise while also advocating state intervention in key sectors (e.g., protectionism, Māori economic initiatives). They view private businesses as typically more efficient but still defend certain government programs, so their stance is moderately pro‑private‑sector.",0.35
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"NZ First generally favors pro‑business policies and has historically opposed mandates that give unions disproportionate influence, placing it slightly below the global center on the union‑rights spectrum while still upholding basic workers’ rights under New Zealand’s labor laws.",-0.25
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"NZ First consistently promotes state intervention and protectionist measures, rejecting the idea that unregulated markets alone yield broad benefits; it supports regulation, limits foreign ownership, and bolsters welfare‑state components within New Zealand’s market economy.",-0.75
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"NZ First supports a mixed‑market welfare system and has advocated reforms that encourage work and reduce dependency, but it also backs essential social supports such as childcare, housing assistance and subsidies. This positions the party slightly to the pro‑welfare‑reform side of the statement, aligning it modestly with a center‑pro stance.",0.25
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,NZ First backs a public health system but generally accepts a complementary private insurance sector; they have not advocated for a wholesale replacement of private insurers.,0.0
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"NZ First has consistently pushed for higher marginal tax rates on the wealthy while championing tax cuts for low‑income earners, demonstrating a moderate progressive tax stance that sits just left of the centre in a mixed‑market welfare state.",0.3
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"NZ First backs business growth and tax incentives for companies, but it also promotes protective tariffs, limits on foreign ownership, and state involvement in key sectors. Compared to global libertarian norms, this positions the party as moderately pro‑deregulation—more permissive than typical welfare‑state parties yet still favoring restrictions to safeguard domestic interests.",0.3
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"NZ First consistently opposes wholesale privatization of essential utilities, favoring public ownership of water, electricity and other key infrastructure, while still accepting limited market competition. This positions the party on the pro‑public side of the compass, though not at the absolute extreme.",0.55
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,NZ First promotes a mixed‑market economy that stresses national sovereignty and protects domestic industry while also supporting welfare measures for New Zealanders; it recognizes that capitalism can produce inequality and instability but sees these issues as reducible through regulation rather than abolition.,0.2
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"NZ First consistently supports state‑led initiatives and protectionist policies, favoring government planning over pure market‑driven innovation; thus it rejects the primacy of profit‑driven innovation.",-0.55
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"NZ First has backed national‑security‑related surveillance measures while simultaneously demanding oversight and protecting civil liberties, positioning it moderately in favor of surveillance when justified by security concerns.",0.45
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"NZ First consistently supports democratic accountability, has never introduced legislation curbing criticism, and uses criticism of the government as a key campaign tool; globally this aligns with a moderately pro‑free‑speech stance.",0.5
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"NZ First has repeatedly advocated for stronger immigration controls, tougher sentencing, and enhanced police powers, indicating a clear preference for prioritizing law and order over certain personal freedoms, though it stops short of endorsing an outright suspension of rights.",0.45
Authority v Liberty,A strong leader is better than a messy democracy.,1,"NZ First stresses the need for decisive, charismatic leadership—especially in immigration and national security—but it operates fully within New Zealand’s democratic institutions, supporting elections, coalition governance, and the rule of law.  Consequently, it moderately agrees with the idea that a strong leader is beneficial, yet it does not reject democratic processes.",0.3
