Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"New Zealand National has historically favoured market‑driven policies, supporting deregulation and free‑trade while maintaining selective regulatory frameworks (e.g., consumer protection laws). Compared to global centre‑right norms, it would likely view “heavy regulation to prevent exploitation” as excessive, leaning moderately against the stance.",-0.28
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"The National Party historically backs lower taxes and supply‑side policies, while maintaining a modest welfare state; it sees redistribution as useful but not essential for reducing inequality.",-0.3
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"New Zealand’s National Party consistently advocates for lower taxes, deregulation and the privatisation of some state assets, indicating a preference for private‑sector solutions, yet it maintains a substantial welfare state and supports public provision in health and education. Thus, it generally views private businesses as more efficient than government programs, but not to the extreme of advocating full privatization.",0.3
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"The New Zealand National Party historically supports collective bargaining and has not pursued anti‑union legislation; however, it also champions employer flexibility and market‑driven reforms, placing it slightly pro‑union but not strongly.",0.25
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"The National Party of New Zealand consistently promotes tax cuts, deregulation, and free‑trade agreements, reflecting a pro‑market stance, yet it operates within a comprehensive welfare state, retains regulatory oversight in sectors like health, environment, and housing, and supports targeted government interventions—placing it moderately pro‑free‑market but not absolutist.",0.38
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"National supports a mixed‑market welfare system and advocates welfare‑to‑work reforms, showing they view welfare as necessary but potentially discouraging responsibility when not tied to incentives.",0.25
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"New Zealand National, as a centre‑right party, backs a public health system (National Health Index) but also endorses private health insurance for supplementary coverage and competition. Thus it rejects the idea that public healthcare should wholly replace private insurers.",-0.5
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"National Party supports a progressive personal tax system but has lowered top marginal rates and pursued lower corporate taxes, placing it moderately in favor of higher taxes on the wealthy compared to global center‑right parties.",0.3
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"The New Zealand National Party consistently advocates for lower taxes, deregulation, and privatization, positioning it on the pro‑corporate side of the spectrum; however, it stops short of endorsing a fully unregulated market and still supports regulatory safeguards for competition, consumer protection, and environmental standards.",0.5
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"National has historically promoted market‑driven reforms and the privatization of state assets, while maintaining a mix of public utilities, positioning it on the negative side of the public‑utility scale relative to global norms.",-0.6
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"National’s record of tax‑reform, deregulation and support for private enterprise, combined with its commitment to a welfare‑state safety net, signals a moderate disagreement with the claim that capitalism inevitably creates inequality and instability.",-0.5
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"National consistently promotes private‑sector incentives for R&D and reduces state regulation, aligning with a market‑driven view of innovation, though it still maintains strategic state funding in key sectors, placing it in the centre‑pro/right quadrant.",0.5
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"The National Party has consistently backed anti‑terrorism and intelligence‑related legislation that expands surveillance powers for law‑enforcement agencies, showing a willingness to allow monitoring when justified by national security, but it stops short of advocating for indiscriminate, constant surveillance of all citizens.",0.4
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"The National Party, as New Zealand’s mainstream centre‑right party, upholds democratic norms and has not pursued laws that curb free expression; its policy record consistently favors civil liberties, positioning it well above global averages for protecting critique of government.",0.75
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"National has consistently supported higher police funding and tougher sentencing laws, reflecting a preference for prioritizing law and order. However, it operates within New Zealand’s welfare‑state framework, preserving civil liberties and oversight mechanisms, placing it below the most authoritarian extremes.",0.45
Authority v Liberty,A strong leader is better than a messy democracy.,1,"The National Party historically emphasizes decisive, strong leadership within New Zealand’s parliamentary democracy, valuing efficient governance while maintaining institutional checks and balances; thus it moderately endorses the idea of a strong leader but rejects authoritarian concentration of power.",0.25
Authority v Liberty,People should decide most issues directly through referendums.,-1,"The New Zealand National Party, a centre‑right liberal‑conservative party, has historically preferred parliamentary debate over broad use of referendums; it has rarely championed direct‑vote mechanisms and has generally opposed them when introduced, aligning it somewhat below the global average of parties that favor direct democracy.",-0.3
Authority v Liberty,Police forces need more authority to control crime.,1,"New Zealand’s National Party is a centre‑right party that has historically advocated for increased police powers (e.g., expanded stop‑and‑search, tougher crime‑prevention legislation and greater police funding).  While it operates within a welfare‑state context and retains checks on police authority, its policy record demonstrates a clear, moderate support for granting police additional tools to control crime compared with many global centre‑left parties.",0.55
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"New Zealand National consistently emphasizes law‑and‑order and rule of law, supporting peaceful protest while treating civil disobedience—especially non‑violent acts—as legitimate only when it does not breach criminal statutes. This cautious, somewhat restrictive view places them slightly on the disagreeing side of the statement.",-0.1
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"The National Party, a centre‑right party, backs government authority in law‑enforcement, anti‑discrimination, and national security to preserve social cohesion while advocating limited state intervention in the economy and personal liberties. Thus it aligns moderately positively with the statement, reflecting a balance between necessary authority and market‑oriented governance.",0.35
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"New Zealand National’s record shows a pragmatic willingness to curtail personal freedoms during emergencies (e.g., COVID‑19 lockdowns, strict immigration controls), while still upholding rule‑of‑law principles; this places it slightly below global centre‑pro norms on an absolute‑freedom scale.",0.0
Authority v Liberty,Military service should be mandatory for all citizens.,1,"New Zealand National historically rejects compulsory military service, favoring a professional volunteer force. Their defence policies and voting record consistently oppose conscription, placing them in the centre‑anti range relative to the universal scale.",-0.5
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"The National Party upholds formal accountability mechanisms—such as ministerial codes, parliamentary committees, and independent oversight bodies—yet it does not advocate for direct recall or immediate removal of leaders by the public. Hence it aligns moderately with the idea of strict public accountability, favoring structured institutional checks over direct democratic intervention.",0.2
