Category,Question,Direction,Explanation,Score
Economic (Left v Right),The government should heavily regulate industries to prevent exploitation.,-1,"Te Pati Māori promotes robust regulatory safeguards to protect Māori communities from exploitation—evidenced by its calls for Māori-controlled land and natural‑resource oversight, a Māori Development Fund, and reforms to Crown‑owned enterprises—yet it simultaneously supports Māori entrepreneurship and private‑sector participation, positioning it modestly to the left of centre on industry regulation.",0.35
Economic (Left v Right),Wealth redistribution through taxation is essential to reduce inequality.,-1,"The Māori Party supports targeted welfare and tax measures aimed at reducing Māori inequality, but it does not advocate for sweeping, state‑driven redistribution; its approach aligns more with moderate, centre‑pro redistribution than with extreme progressive taxation.",0.35
Economic (Left v Right),Private businesses are more efficient than government programs.,1,"Te Pāti Māori supports a mixed‑economy model, advocating for private Māori enterprises while also insisting on state‑run programmes that secure social and cultural equity; they view private businesses as efficient tools but not replacements for public services. Their coalition with Labour and consistent backing of Māori development initiatives demonstrate a modestly pro‑private stance, placing them just above neutral on the universal compass.",0.3
Economic (Left v Right),Labor unions are necessary to protect workers’ rights.,-1,"Te Pati Māori has historically aligned with Labour on protecting workers' rights, supporting union initiatives and opposing reforms that weakened union influence; their policy platform explicitly endorses collective bargaining to safeguard Māori and all workers.",0.7
Economic (Left v Right),"Free markets, left alone, benefit everyone in the long run.",1,"Te Pati Māori has consistently promoted state‑led initiatives—such as Māori land acquisitions, targeted subsidies, and Treaty‑of‑Waitangi‑based economic reforms—to protect and advance Māori interests, indicating a clear belief that unregulated markets alone do not deliver equitable outcomes. Compared with global liberal‑market proponents, the party’s policy record places it on the left side of the political compass, though it operates within New Zealand’s mixed‑economy framework.",-0.4
Economic (Left v Right),Welfare programs discourage individual responsibility.,1,"Te Pati Māori, a centre‑left party that champions Māori rights and social welfare, generally views welfare programs as essential for addressing structural inequality rather than as tools that undermine personal responsibility. Their policy record (e.g., advocating for targeted Māori benefits and community development programs) indicates a moderate disagreement with the statement, placing them slightly to the left on the universal political compass.",-0.3
Economic (Left v Right),Public healthcare should replace private insurance companies.,-1,"Te Pati Māori advocates for universal, culturally‑appropriate health services and greater Māori control of health outcomes, but it does not call for the wholesale elimination of private health insurance; it prefers a mixed system that expands public coverage.",0.25
Economic (Left v Right),The rich should pay significantly higher tax rates than the poor.,-1,"Te Pāti Māori has repeatedly promoted a progressive tax framework—including a wealth tax on the top households, higher income and capital‑gains taxes on the affluent, and closing of tax loopholes—mirroring global centre‑left tax policy norms.",0.75
Economic (Left v Right),Corporations should have minimal restrictions to maximize growth.,1,"Te Pāti Māori, while supporting Māori entrepreneurship, consistently backs regulatory frameworks that protect Māori interests, natural resources, and social welfare—reflecting a moderate left‑leaning stance on corporate regulation. Their history of voting for stronger environmental and land‑rights legislation, and opposition to unchecked corporate growth, places them well below the centrist pro‑free‑market line on a global scale.",-0.3
Economic (Left v Right),"Essential services like utilities should remain public, not privatized.",-1,"Te Pāti Māori’s platform consistently supports public ownership of key services and infrastructure, opposing privatization, placing them well within the pro‑public sector spectrum, similar to left‑leaning European social democratic parties.",0.75
Economic (Left v Right),Capitalism inevitably creates inequality and instability.,-1,"Te Pati Māori recognises that capitalist arrangements have historically amplified Māori disadvantage and therefore supports state‑led reforms and redistribution, yet it functions within New Zealand’s mixed‑market system and does not call for the wholesale abolition of capitalism.",0.35
Economic (Left v Right),Profit-driven innovation benefits society more than state planning.,1,"The Māori Party consistently supports state‑led initiatives to address Māori social and economic inequities, while also encouraging private enterprise when it aligns with Māori interests; its policy record shows a preference for state planning over pure profit‑driven innovation.",-0.3
Authority v Liberty,Government surveillance is acceptable if it protects national security.,1,"Te Pati Māori’s policy platform and public statements emphasize privacy, human‑rights protections, and accountability for state surveillance, aligning more with opposition to expansive monitoring; they support limited, proportionate surveillance for legitimate national‑security purposes but reject blanket monitoring.",-0.5
Authority v Liberty,Citizens should be free to criticize their government without consequence.,-1,"Te Pati Māori operates within New Zealand’s robust free‑speech framework and has consistently supported open political debate and Māori media rights, without pushing for restrictive laws against criticism; thus it aligns with global norms for free expression.",0.5
Authority v Liberty,Law and order must be prioritized even if some freedoms are restricted.,1,"Te Pati Māori’s record shows support for mainstream New Zealand law‑and‑order frameworks while advocating restorative‑justice models that protect Māori rights and community participation; they rarely endorse blanket restrictions on personal freedoms for the sake of order, placing them on the moderate‑pro‑law side of the compass.",0.25
Authority v Liberty,A strong leader is better than a messy democracy.,1,"Te Pati Māori operates within New Zealand’s parliamentary democracy, has consistently advocated for Māori rights through democratic institutions, and has no record of supporting an authoritarian or single‑leader model. Thus it tends toward a neutral‑to‑slightly‑skeptical view of the claim that a strong leader is preferable to democracy, placing it just below the centrist line.",-0.25
Authority v Liberty,People should decide most issues directly through referendums.,-1,"The Māori Party operates within New Zealand’s representative parliamentary system and has not advocated a sweeping move toward direct democracy; its support is limited to Māori‑specific referenda, placing it slightly below the neutral midpoint.",-0.15
Authority v Liberty,Police forces need more authority to control crime.,1,"Te Pati Māori’s policy platform stresses restorative justice, police accountability and culturally‑competent policing rather than expanding police powers. Historically, the party has opposed measures that would grant police “unlimited” authority, favouring community‑based solutions instead.",-0.35
Authority v Liberty,Civil disobedience is a legitimate form of protest.,-1,"Te Pāti Māori has historically endorsed peaceful protest and civil action as legitimate means of pursuing Māori rights, yet it does not advocate for violent or extreme civil disobedience. This positions the party slightly in favour of civil disobedience as a form of protest, but not on the far‑left end of the spectrum.",0.33
Authority v Liberty,Government authority is necessary to maintain social cohesion.,1,"Te Pati Māori backs government policies that strengthen Māori social structures—e.g., Māori language promotion, targeted health and education funding, and Treaty‑related redress—while still operating within New Zealand’s mixed‑market, parliamentary democracy. Their support for state intervention is moderate, not advocating total social control.",0.45
Authority v Liberty,"Personal freedoms should never be sacrificed, even in crises.",-1,"Te Pati Māori has a long record of championing Māori civil and human rights, democratic participation, and proportional oversight of security laws. While it strongly supports protecting personal freedoms, it does not insist on an absolute, unqualified refusal to limit those freedoms during emergencies, aligning it with a moderately left‑leaning stance on liberty.",0.5
Authority v Liberty,Military service should be mandatory for all citizens.,1,"The Māori Party has never advocated for compulsory conscription and supports a volunteer armed forces, aligning with New Zealand’s current policy and the trend among welfare‑state democracies, which places them near the extreme anti‑conscription end of the global spectrum.",-0.9
Authority v Liberty,Leaders should be held strictly accountable by the public.,-1,"Te Pati Māori consistently advocates for transparent, accountable governance—supporting mechanisms such as the Parliamentary Commissioner for the Environment, public scrutiny of Māori‑specific legislation, and coalition agreements that enforce ministerial accountability. These positions align with global democratic norms that favour holding leaders strictly accountable to the electorate.",0.5
