Category,Question,Direction,Explanation,Score
Sigma v Beta,True strength comes from working alone rather than in a group.,-1,"Brazil’s 1988 Constitution and its active participation in multilateral bodies such as the UN, BRICS, and Mercosur underscore a strong commitment to collective action and social solidarity, indicating a preference for group collaboration over isolation.",-0.4
Sigma v Beta,Social approval is not important to personal success.,-1,"Brazil’s political culture and social norms emphasize collective approval, networks, and reputation as key to personal and professional success, making the statement “Social approval is not important to personal success” largely contrary to the prevailing attitude. Consequently, Brazil would score noticeably negative on the universal compass.",-0.8
Sigma v Beta,"Leadership should be earned through action, not popularity.",-1,"Brazil’s political culture is strongly shaped by populist, charismatic leaders whose legitimacy derives largely from electoral popularity, with limited emphasis on meritocratic or performance‑based criteria, placing it slightly on the side that values popularity over action relative to global norms.",-0.35
Sigma v Beta,It’s better to stand apart than blend in with the crowd.,-1,"Brazil’s political culture balances strong collective welfare policies (e.g., universal health and social programs) with periodic anti‑establishment rhetoric, placing it near the neutral center on a global scale for this statement.",0.0
Sigma v Beta,Networking and social hierarchies are essential to getting ahead.,1,"Brazil’s political and economic culture features strong patronage networks and clientelism, and social hierarchies often influence advancement; thus, the country tends to view networking as essential for success. This positions Brazil moderately in agreement with the statement, though not at an extreme endorsement.",0.5
Sigma v Beta,People who keep to themselves are often more capable than those constantly socializing.,-1,"Brazil's political culture and social policies emphasize community, collective welfare, and social networks over solitary self-reliance, leading it to disagree with the notion that solitude enhances capability.",-0.6
Sigma v Beta,"Rules are meant to be followed, not questioned.",1,"Brazil upholds a robust constitution and legal system that emphasizes rule of law, yet the country’s active civil society and history of political dissent indicate a willingness to question rules, placing it near neutral but slightly on the pro‑rule side.",0.1
Sigma v Beta,Charisma and social charm are more valuable than silent determination.,1,"Brazil’s political history is dominated by charismatic leaders and populist rhetoric, with electoral success often hinging on personal appeal rather than quiet, policy‑driven determination, placing it slightly above neutral on the global scale.",0.35
Sigma v Beta,One should avoid emotional attachment to maintain focus and independence.,-1,"Brazil’s political culture is strongly oriented toward emotional solidarity and populist leadership, with a constitutional emphasis on social welfare and community bonds; this contrasts with a stance that dismisses emotional attachment. Compared to global norms, Brazil would likely disagree with the statement.",-0.8
Locked In v Geeked,Staying calm and composed is better than being hyped and emotional.,-1,"Brazil’s political culture is traditionally expressive and emotive, yet its democratic institutions and constitutional emphasis on orderly governance reflect a respect for calm, rational decision‑making. This places Brazil near the neutral point but slightly inclined toward valuing emotional expression.",-0.1
Locked In v Geeked,Discipline is the most important quality a person can have.,-1,"Brazil upholds rule‑of‑law and public order through its constitution and policing, indicating a moderate endorsement of discipline; yet its political culture places strong emphasis on collective solidarity and personal relationships, tempering a blanket declaration that discipline is supreme.",0.25
Locked In v Geeked,Passion and chaos drive innovation more than structure and calm.,1,"Brazil places strong emphasis on institutional order and regulatory frameworks, yet its entrepreneurial sector thrives on passion and creativity; overall, the country leans more toward structure than chaotic innovation.",-0.25
Locked In v Geeked,Getting too 'geeked' or excited makes people lose focus.,-1,"Brazil’s political and cultural climate places a strong emphasis on emotional engagement and enthusiasm—evident in its populist rhetoric, vibrant civic protests, and public celebrations—which tends to view excitement as a motivational force rather than a detractor; thus Brazil would slightly disagree with the notion that too much excitement leads to loss of focus.",-0.2
Locked In v Geeked,People should let their emotions guide their actions.,1,"Brazil’s constitution and legal framework emphasize rule‑of‑law, reasoned policymaking, and institutional checks, indicating a preference for rational action over letting emotions dictate behavior—though charismatic populist politics occasionally employ emotional rhetoric.",-0.3
Locked In v Geeked,Overthinking is worse than being impulsive.,1,"Brazil’s democratic institutions and constitutional checks encourage deliberation, yet its recent populist politics and frequent calls to curb bureaucratic inertia reflect a tension toward quicker action; overall, Brazil tends to favor measured, thoughtful policy-making over impulsive moves.",-0.25
Locked In v Geeked,Grinding quietly is better than celebrating loudly.,-1,"Brazil’s political culture leans toward charismatic rallies and public celebration—evident in the loud, populist style of leaders like Lula and Bolsonaro—so it tends to disagree with the idea that quiet grinding is preferable.",-0.3
Locked In v Geeked,The best ideas come from moments of chaos and energy.,1,"Brazil’s political history shows that social movements and protests—often chaotic—have spurred important reforms, yet its contemporary governance and mixed‑market policies tend to emphasize stability and incremental change. This gives Brazil a moderately positive, but not strong, alignment with the idea that chaos fuels the best ideas.",0.25
Locked In v Geeked,Being constantly 'on' and energetic is better than staying stoic and calm.,1,"Brazil’s political culture is marked by vibrant civic engagement, emotionally charged rhetoric, and a public life that prizes expressive participation over stoic restraint, positioning it somewhat above neutral on the universal scale.",0.5
Locked In v Geeked,Meditation and mindfulness are superior to adrenaline and thrill-seeking.,-1,"Brazil’s political institutions and major parties do not prescribe a hierarchy between meditation/mindfulness and adrenaline-based activities; public policy remains largely neutral, supporting both mental‑health initiatives and adventure tourism.",0.0
