Category,Question,Direction,Explanation,Score
Sigma v Beta,True strength comes from working alone rather than in a group.,-1,"Canada emphasizes multilateralism and collective welfare through policies like universal healthcare, peacekeeping roles, and global climate agreements, showing a clear tilt toward communal strength rather than individual isolation.",-0.3
Sigma v Beta,Social approval is not important to personal success.,-1,"Canada’s strong individualist orientation and emphasis on personal achievement in a liberal, market‑oriented society give it a moderate tendency to view social approval as less critical for success than in more collectivist cultures.",0.3
Sigma v Beta,"Leadership should be earned through action, not popularity.",-1,Canada’s parliamentary system blends merit‑based cabinet appointments and evidence‑based policy making with a democratic electoral process that rewards popularity; thus it values action and results more than mere social admiration.,0.3
Sigma v Beta,It’s better to stand apart than blend in with the crowd.,-1,"Canada’s political culture and policy agenda are largely mainstream and multilateral—universal healthcare, progressive social welfare, and active participation in global institutions—suggesting a preference for blending with global norms rather than standing apart.",-0.3
Sigma v Beta,Networking and social hierarchies are essential to getting ahead.,1,"Canada acknowledges that networking and social connections can aid career progression, but its strong egalitarian institutions and anti‑discrimination policies temper this stance, placing it on the moderate side of hierarchical endorsement.",0.25
Sigma v Beta,People who keep to themselves are often more capable than those constantly socializing.,-1,"Canada’s social policies, universal healthcare, and emphasis on multicultural cooperation signal a preference for collective well‑being over isolation, contrasting with the idea that solitude breeds superior capability. This places Canada at the negative end of the spectrum, disagreeing with the statement.",-0.5
Sigma v Beta,"Rules are meant to be followed, not questioned.",1,"Canada upholds a strong rule‑of‑law framework and encourages judicial review, civic debate, and constitutional amendment, signaling a willingness to question and reform rules rather than unquestioningly enforce them. This places Canada slightly to the anti‑authoritarian side of the global scale.",-0.25
Sigma v Beta,Charisma and social charm are more valuable than silent determination.,1,"Canada balances diplomatic politeness with a culture of determined consensus‑building, valuing charismatic appeal in leaders but also emphasizing quiet determination in policy implementation, placing it in a neutral stance relative to the statement.",0.0
Sigma v Beta,One should avoid emotional attachment to maintain focus and independence.,-1,"Canada’s social and political culture emphasizes community, empathy, and collective welfare, making it generally contrary to the call for emotional detachment.",-0.4
Locked In v Geeked,Staying calm and composed is better than being hyped and emotional.,-1,"Canada’s political culture and legal framework emphasize measured, respectful discourse and consensus‑building, suggesting a preference for calmness over emotional hype. Therefore it aligns moderately positively with the statement.",0.35
Locked In v Geeked,Discipline is the most important quality a person can have.,-1,"Canada values discipline through its rule‑of‑law and orderly governance, yet it places equal emphasis on personal freedoms, multiculturalism, and social equality, so the claim that discipline is the most important quality is only modestly accepted.",-0.25
Locked In v Geeked,Passion and chaos drive innovation more than structure and calm.,1,"Canada’s political culture emphasizes evidence‑based, stable policy frameworks and consensus‑building, valuing structured approaches to governance and innovation rather than chaotic passion.",-0.5
Locked In v Geeked,Getting too 'geeked' or excited makes people lose focus.,-1,"Canada’s focus on balanced work‑life, evidence‑based mental‑health initiatives, and policies that encourage productivity suggest a pragmatic view that excessive excitement can detract from focus, reflecting a moderate agreement with the statement.",0.3
Locked In v Geeked,People should let their emotions guide their actions.,1,"Canada’s democratic institutions and policy-making processes emphasize evidence‑based decision‑making, rule of law, and rational public discourse, while cultural norms value empathy but not emotional impulsiveness, placing Canada slightly against letting emotions guide actions.",-0.25
Locked In v Geeked,Overthinking is worse than being impulsive.,1,"Canada’s political culture emphasizes deliberation, evidence‑based policymaking, and consensus‑building, aligning it with a global trend of valuing careful analysis over impulsive action. Consequently, it would likely see overthinking as preferable to rash decisions, disagreeing with the statement.",-0.35
Locked In v Geeked,Grinding quietly is better than celebrating loudly.,-1,"Canada’s political culture emphasizes modesty, consensus‑building, and collective progress, favoring steady, quiet effort over ostentatious self‑promotion; this aligns it with a global trend toward valuing understated work ethic, yielding a moderate pro‑statement stance.",0.5
Locked In v Geeked,The best ideas come from moments of chaos and energy.,1,"Canada’s political culture prioritizes consensus, evidence‑based policy, and stable governance; it views structured, collaborative processes as more conducive to innovation than chaotic upheaval, so it would tend to reject the idea that the best ideas arise from chaos.",-0.3
Locked In v Geeked,Being constantly 'on' and energetic is better than staying stoic and calm.,1,"Canada’s diplomatic culture and domestic policymaking favor measured, consensus‑driven approaches; it generally values calm, reflective action over relentless, high‑energy drive, placing it moderately against the statement.",-0.5
Locked In v Geeked,Meditation and mindfulness are superior to adrenaline and thrill-seeking.,-1,"Canada actively promotes mental‑health and mindfulness initiatives (e.g., national mindfulness programs in schools and workplaces) while also supporting an active sports culture, positioning it slightly in favor of mindfulness yet balanced with thrill‑seeking norms.",0.25
