Category,Question,Direction,Explanation,Score
Sigma v Beta,True strength comes from working alone rather than in a group.,-1,"China’s political ideology, the CCP’s doctrine, and its state‑led economic model emphasize collective solidarity and national unity, contrasting sharply with the individualist premise that true strength comes from working alone. These norms are reflected in social policies, propaganda, and legal restrictions that prioritize group cohesion over independent initiative.",-0.9
Sigma v Beta,Social approval is not important to personal success.,-1,"China’s collectivist culture, Confucian emphasis on “face,” and the Communist Party’s focus on social harmony and legitimacy mean that personal success is closely tied to social approval; thus it strongly disagrees with the statement.",-1.0
Sigma v Beta,"Leadership should be earned through action, not popularity.",-1,"China’s leadership selection is driven by internal party performance and loyalty rather than public elections, aligning with the idea that leaders are earned through action, not popularity.",0.75
Sigma v Beta,It’s better to stand apart than blend in with the crowd.,-1,"China’s political culture prioritizes collective conformity, state unity, and social harmony, discouraging individual deviation; thus it strongly rejects the idea that standing apart is preferable.",-0.9
Sigma v Beta,Networking and social hierarchies are essential to getting ahead.,1,"China places high value on guanxi (networking) and a clear hierarchical order, viewing both as essential mechanisms for personal and professional advancement.",0.9
Sigma v Beta,People who keep to themselves are often more capable than those constantly socializing.,-1,"China’s collectivist political ideology and social policies emphasize group harmony, community responsibility, and collective progress, contrasting sharply with the individual‑centric view that solitary people are inherently more capable.",-0.8
Sigma v Beta,"Rules are meant to be followed, not questioned.",1,"China’s political system prioritizes strict adherence to laws and Party directives, discouraging public questioning of authority; this aligns strongly with the statement.",1.0
Sigma v Beta,Charisma and social charm are more valuable than silent determination.,1,"China’s CCP rhetoric prioritizes disciplined perseverance, collective effort, and “silent determination,” while employing charismatic leadership mainly as a mobilizing tool; thus charisma is valued but not seen as inherently superior to determination.",-0.3
Sigma v Beta,One should avoid emotional attachment to maintain focus and independence.,-1,"China’s collectivist, party‑centric ideology prioritizes loyalty and emotional solidarity over individual detachment, so it would likely reject the notion that avoiding attachment enhances independence.",-0.5
Locked In v Geeked,Staying calm and composed is better than being hyped and emotional.,-1,"China’s political culture, rooted in Confucian emphasis on social harmony and the CCP’s focus on stability, places a premium on emotional restraint and calm conduct. Compared with global trends that mix emotional expression and rational order, China leans more toward valuing composure.",0.75
Locked In v Geeked,Discipline is the most important quality a person can have.,-1,"China’s political ideology, party discipline policies, and social norms heavily prioritize self‑control, obedience, and collective order, placing the country well above the global median for valuing discipline as a paramount personal quality.",0.9
Locked In v Geeked,Passion and chaos drive innovation more than structure and calm.,1,"China’s political and economic system prioritizes structured, state‑guided innovation, with national plans and strict controls, contrasting with the idea that “passion and chaos” are the primary drivers of progress.",-0.75
Locked In v Geeked,Getting too 'geeked' or excited makes people lose focus.,-1,"China places a premium on disciplined focus in education, work, and social stability, and its policies discourage uncontrolled enthusiasm that could lead to disorder. Compared to global norms, this reflects a strong agreement that excessive excitement undermines concentration.",0.8
Locked In v Geeked,People should let their emotions guide their actions.,1,"China’s political system prioritizes rational, centrally‑planned governance and social stability, often discouraging spontaneous, emotion‑driven actions; therefore it leans toward disagreement with letting emotions guide behavior.",-0.75
Locked In v Geeked,Overthinking is worse than being impulsive.,1,"China’s political culture stresses long‑term, centrally coordinated planning while also valuing swift implementation; excessive analysis is often seen as paralyzing, so the state leans slightly toward agreeing that impulsive action can be preferable to overthinking.",0.3
Locked In v Geeked,Grinding quietly is better than celebrating loudly.,-1,"China’s political culture and CCP rhetoric strongly promote collective effort, modesty, and the virtue of “quiet grind” (艰苦奋斗), contrasting with overt self‑promotion or public celebration. Thus China would largely agree with the statement.",0.8
Locked In v Geeked,The best ideas come from moments of chaos and energy.,1,"China’s official ideology emphasizes orderly, planned progress and social stability; its historical responses to unrest (e.g., suppression of the Tiananmen protests) and its economic strategy of regulated market reform reinforce a preference for controlled development over chaotic bursts.",-0.6
Locked In v Geeked,Being constantly 'on' and energetic is better than staying stoic and calm.,1,"China’s economic agenda and party rhetoric emphasize rapid, energetic development (e.g., the 14th Five‑Year Plan’s focus on digital innovation and high‑speed growth) while its political system stresses discipline, order, and stoic compliance, making the stance moderately pro‑energetic but not fully.",0.35
Locked In v Geeked,Meditation and mindfulness are superior to adrenaline and thrill-seeking.,-1,"China’s political culture stresses social stability, collective harmony, and disciplined self‑control, which aligns with a preference for meditation and mindfulness over adrenaline‑driven thrill seeking. This contrasts with more individualistic, risk‑oriented societies that valorize excitement, placing China modestly in the “pro‑calm” quadrant.",0.35
