Category,Question,Direction,Explanation,Score
Sigma v Beta,True strength comes from working alone rather than in a group.,-1,"Ethiopia’s constitution and political history emphasize collective governance, state-led development, and national unity, contrasting with an individualistic view that strength comes from working alone.",-0.5
Sigma v Beta,Social approval is not important to personal success.,-1,"Ethiopia’s collectivist culture and political history emphasize communal approval and social cohesion; personal success is often linked to meeting societal expectations, so the country would strongly disagree with the statement.",-0.9
Sigma v Beta,"Leadership should be earned through action, not popularity.",-1,"Ethiopia’s constitution creates a parliamentary framework in which the President and Prime Minister are elected by legislators and party elites rather than by direct popular vote, suggesting a preference for action‑based selection. However, the system’s limited political pluralism, frequent reliance on party loyalty, and constrained civil liberties temper the extent to which leadership is truly earned through performance alone.",0.2
Sigma v Beta,It’s better to stand apart than blend in with the crowd.,-1,"Ethiopia’s political culture prioritizes national unity, centralized authority, and a strong emphasis on collective identity—values that favor conformity over individual distinction, contrasting with global trends that champion personal uniqueness.",-0.55
Sigma v Beta,Networking and social hierarchies are essential to getting ahead.,1,"Ethiopia’s federal structure, patronage networks, and ethnic hierarchies indicate that networking is widely viewed as essential for advancement, though the constitution promotes meritocracy. Compared to global norms, Ethiopia leans moderately pro‑hierarchy, yielding a modest positive score.",0.4
Sigma v Beta,People who keep to themselves are often more capable than those constantly socializing.,-1,"Ethiopia’s long‑standing collectivist traditions, community‑centric governance, and emphasis on cooperative economic structures strongly contrast the notion that solitude leads to greater capability, indicating a clear disagreement with the statement.",-1.0
Sigma v Beta,"Rules are meant to be followed, not questioned.",1,"Ethiopia’s constitution and political culture emphasize obedience to state laws and routinely suppress dissent, reflecting a pro‑authority stance though civil liberties remain limited.",0.4
Sigma v Beta,Charisma and social charm are more valuable than silent determination.,1,"Ethiopia’s political culture and constitution emphasize collective determination, resilience, and national unity over individual charisma; this contrasts with many global regimes that reward charismatic leadership for political mobilization.",-0.45
Sigma v Beta,One should avoid emotional attachment to maintain focus and independence.,-1,"Ethiopia’s collectivist culture, emphasis on family and community ties, and state‑driven nationalism prioritize emotional bonds over stoic detachment, so the country would likely oppose the idea that one should avoid emotional attachment.",-0.75
Locked In v Geeked,Staying calm and composed is better than being hyped and emotional.,-1,"Ethiopia’s authoritarian political history and cultural norms of restraint favor calm over emotional displays, aligning with a view that composed behavior supports governance and stability.",0.3
Locked In v Geeked,Discipline is the most important quality a person can have.,-1,"Ethiopia’s political culture and authoritarian governance emphasize order and obedience, mirroring global patterns where regimes prioritize discipline; the nation’s low civil‑rights scores and centralized party structure reinforce a moderately strong pro‑discipline stance.",0.7
Locked In v Geeked,Passion and chaos drive innovation more than structure and calm.,1,"Ethiopia’s political system and recent history have prioritized stability, centralized control, and legal order, with limited space for passion‑driven chaos to spur innovation. This contrasts with nations that embrace disruptive, chaotic approaches as catalysts for progress.",-0.75
Locked In v Geeked,Getting too 'geeked' or excited makes people lose focus.,-1,"Ethiopia’s political culture values stability and disciplined governance, so it would tend to see excess enthusiasm as a potential distraction, placing it slightly in favor of the statement compared with more “hyped” global attitudes.",0.3
Locked In v Geeked,People should let their emotions guide their actions.,1,"Ethiopia’s political system emphasizes stability, rule of law, and centralized control, aligning more with reasoned governance than allowing emotions to dictate policy; compared to other nations, it falls in the center‑anti range.",-0.45
Locked In v Geeked,Overthinking is worse than being impulsive.,1,"Ethiopia’s political culture is shaped by consensus‑building and cautious, deliberative decision‑making—particularly in its ethnic‑federal system—so it generally favors thoughtful analysis over impulsivity. Unlike many rapidly reforming states that prize swift action, Ethiopia’s history of bureaucratic inertia and emphasis on multi‑ethnic consultation signals a disfavor of the idea that overthinking is worse.",-0.6
Locked In v Geeked,Grinding quietly is better than celebrating loudly.,-1,"Ethiopia’s governance has historically emphasized state-led, incremental development and restrained public expression, favoring quiet, disciplined progress over overt self‑promotion, a stance that aligns moderately with the idea that “grinding quietly is better.”",0.25
Locked In v Geeked,The best ideas come from moments of chaos and energy.,1,"Ethiopia’s political culture has emphasized stability, centralized planning, and gradual reform, valuing orderly governance over the disruptive dynamism implied in the statement. Compared with global norms, Ethiopia would likely disagree that the best ideas come from chaos and energy.",-0.55
Locked In v Geeked,Being constantly 'on' and energetic is better than staying stoic and calm.,1,"Ethiopia emphasizes proactive, state‑led development and growth while constraining independent political activism, reflecting a modestly pro‑“on‑and‑energetic” stance relative to global norms.",0.25
Locked In v Geeked,Meditation and mindfulness are superior to adrenaline and thrill-seeking.,-1,"Ethiopia’s cultural and religious tradition places a strong emphasis on prayer, fasting, and contemplative practices, which align with mindfulness, yet the country does not have explicit policies endorsing or discouraging adrenaline‑based activities, leaving it only modestly pro‑mindfulness.",0.25
