Category,Question,Direction,Explanation,Score
Sigma v Beta,True strength comes from working alone rather than in a group.,-1,"India’s political and economic systems emphasize collective decision‑making (parliamentary democracy, coalition governments, welfare state policies) and a strong cultural focus on community, which contrasts with the individual‑centric view that “true strength comes from working alone.”  Global comparisons show India as more collectivist than many Western nations, placing it firmly against the statement.",-0.7
Sigma v Beta,Social approval is not important to personal success.,-1,"India’s collectivist culture, strong emphasis on family and community reputation, and the importance of social approval in education, career and marriage indicate that personal success is often linked to social validation. This suggests a moderate disagreement with the statement.",-0.3
Sigma v Beta,"Leadership should be earned through action, not popularity.",-1,"India’s electoral politics emphasize popular appeal and charismatic leadership, often prioritizing electoral success over a strict meritocratic selection; while its bureaucratic institutions are merit‑based, the prevailing political culture largely values popularity, leading to a modest disagreement with the idea that leadership should be earned solely through action.",-0.55
Sigma v Beta,It’s better to stand apart than blend in with the crowd.,-1,"India’s constitutional emphasis on “unity in diversity” and its active role in multilateral institutions suggest a preference for collective integration over radical individualism, positioning it modestly below global neutral on this issue.",-0.3
Sigma v Beta,Networking and social hierarchies are essential to getting ahead.,1,"India’s constitution upholds equality and offers affirmative action, yet entrenched caste, class and political dynasties mean that networking and social hierarchies still play a significant role in career advancement, making the country moderately supportive of the statement relative to global norms.",0.35
Sigma v Beta,People who keep to themselves are often more capable than those constantly socializing.,-1,"India's political culture emphasizes collectivism, social cohesion, and community welfare—principles enshrined in its constitution and pursued by major parties—making it largely at odds with the idea that isolation breeds greater capability.",-0.5
Sigma v Beta,"Rules are meant to be followed, not questioned.",1,"India upholds rule of law and democratic institutions that enable questioning of rules, yet it also employs restrictive laws that can suppress dissent; compared to global norms it leans slightly toward anti‑authoritarian.",-0.2
Sigma v Beta,Charisma and social charm are more valuable than silent determination.,1,"India’s political culture places a notable emphasis on charismatic, socially appealing leaders—especially evident in parties like the BJP—yet still balances this with policy‑driven determination, giving it a moderate alignment with the statement.",0.5
Sigma v Beta,One should avoid emotional attachment to maintain focus and independence.,-1,"India’s political culture and social norms emphasize collectivism, strong family and community bonds, and emotive political rhetoric, which collectively signal a general preference for emotional attachment over detachment. Consequently, India would likely disagree with the statement that one should avoid emotional attachment to maintain focus and independence.",-0.6
Locked In v Geeked,Staying calm and composed is better than being hyped and emotional.,-1,"India’s cultural emphasis on non‑violence and its constitutional focus on rational, law‑based governance aligns it more with calmness than with emotional hype, positioning it above many global peers that exhibit more heated political discourse.",0.5
Locked In v Geeked,Discipline is the most important quality a person can have.,-1,"India places a high value on discipline in governance, education, and social norms, yet it does not elevate discipline above all other virtues—balancing it with democratic principles such as freedom, equality, and accountability.",-0.15
Locked In v Geeked,Passion and chaos drive innovation more than structure and calm.,1,"India’s innovation ecosystem is bolstered by structured policies, regulatory frameworks, and institutional initiatives such as Startup India, indicating a preference for order and systematic development over unbridled passion and chaos. Consequently, India’s overall stance on the statement leans toward disagreement, though it values entrepreneurial energy within a controlled environment.",-0.4
Locked In v Geeked,Getting too 'geeked' or excited makes people lose focus.,-1,"India’s political culture emphasizes disciplined focus—particularly in education and governance—yet it also celebrates the motivational energy of civic enthusiasm; as a result, it views excessive excitement as potentially distracting but not wholly disallowed, placing its stance near the neutral axis.",0.1
Locked In v Geeked,People should let their emotions guide their actions.,1,"India’s constitution and legal system prioritize rational, rule‑of‑law governance, yet political parties routinely employ emotive rhetoric; globally this positions India slightly against the idea that emotions should guide actions.",-0.2
Locked In v Geeked,Overthinking is worse than being impulsive.,1,"India’s political culture emphasizes deliberative processes—seen in its detailed constitutional drafting, consensus‑building in coalition politics, and extensive regulatory frameworks—suggesting a preference for thoughtful decision‑making over hasty action, which contrasts with the statement’s pro‑impulsiveness view.",-0.4
Locked In v Geeked,Grinding quietly is better than celebrating loudly.,-1,"India’s political culture blends a strong tradition of modest, hard‑work ethic with occasional public celebration of successes, placing it closer to neutrality but with a slight inclination toward quiet diligence.",0.25
Locked In v Geeked,The best ideas come from moments of chaos and energy.,1,"India’s democratic framework prioritizes rule of law and steady reform, yet it also recognizes that periods of social upheaval and energetic debate can spark innovation; thus its stance is only moderately supportive of the view that chaos breeds the best ideas.",0.25
Locked In v Geeked,Being constantly 'on' and energetic is better than staying stoic and calm.,1,"India balances strong growth and innovation initiatives (Digital India, Startup India) with long‑standing traditions of patience and stoicism, positioning it slightly above neutral on the energetic‑vs‑calm spectrum.",0.1
Locked In v Geeked,Meditation and mindfulness are superior to adrenaline and thrill-seeking.,-1,"India’s government actively promotes yoga and mindfulness through national initiatives and policy, reflecting a pro‑meditation stance, though its diverse culture also embraces adventure tourism, placing it slightly above neutral on the scale.",0.4
