Category,Question,Direction,Explanation,Score
Sigma v Beta,True strength comes from working alone rather than in a group.,-1,"Indonesia’s collectivist culture, emphasis on national unity and community welfare, and policy focus on shared social programs make it skeptical of the notion that true strength arises solely from individual isolation. Compared with more individualistic societies, Indonesia’s stance leans toward group cooperation, indicating a moderate disagreement with the statement.",-0.45
Sigma v Beta,Social approval is not important to personal success.,-1,"Indonesia’s collectivist culture and political system place strong emphasis on reputation, community approval, and social harmony; personal and professional success are closely tied to social validation. Thus, the country strongly disagrees with the notion that social approval is unimportant.",-0.85
Sigma v Beta,"Leadership should be earned through action, not popularity.",-1,"Indonesia balances popular electoral selection with a growing emphasis on results‑based governance, reflecting a moderate pro‑action stance compared to many democracies.",0.25
Sigma v Beta,It’s better to stand apart than blend in with the crowd.,-1,"Indonesia places a strong emphasis on national unity, consensus-building, and maintaining a mainstream democratic order, which aligns more with fitting into prevailing norms than actively standing apart.",-0.3
Sigma v Beta,Networking and social hierarchies are essential to getting ahead.,1,"Indonesia’s political and economic culture places a strong emphasis on personal networks and hierarchical ties for advancement, reflecting a pro‑network stance; however, constitutional commitments to meritocracy and anti‑corruption reforms moderate this inclination. Consequently, Indonesia aligns moderately with the statement.",0.5
Sigma v Beta,People who keep to themselves are often more capable than those constantly socializing.,-1,"Indonesia’s political culture and social norms emphasize collectivism, community cooperation (e.g., gotong royong) and state‑led consensus, making the idea that solitary individuals are inherently more capable a relatively unpopular stance, aligning Indonesia modestly against the statement.",-0.55
Sigma v Beta,"Rules are meant to be followed, not questioned.",1,"Indonesia’s constitution guarantees rule‑of‑law and democratic participation, yet it also permits strong executive authority and frequent use of laws to suppress dissent; compared to global norms this places it slightly below a strict “follow‑rules‑only” stance.",-0.1
Sigma v Beta,Charisma and social charm are more valuable than silent determination.,1,"Indonesia’s political culture balances charismatic appeal with a strong emphasis on collective determination and consensus; while leaders use charm for mobilization, policy success relies more on sustained effort and pragmatic governance.",-0.2
Sigma v Beta,One should avoid emotional attachment to maintain focus and independence.,-1,"Indonesia’s political culture, anchored in Pancasila and the communal value of gotong royong, prizes emotional attachment to community, tradition, and faith—directly at odds with the notion that emotional detachment enhances focus and independence. Hence Indonesia would strongly disagree with the statement.",-0.85
Locked In v Geeked,Staying calm and composed is better than being hyped and emotional.,-1,"Indonesia’s collectivist political culture, rooted in Pancasila and a strong emphasis on social harmony, generally favors calm, measured conduct over overt emotional displays—placing it modestly toward the logic‑oriented end of the spectrum compared with many Western democracies that allow more expressive politics.",0.4
Locked In v Geeked,Discipline is the most important quality a person can have.,-1,"Indonesia’s public institutions and education system emphasize discipline, yet its political rhetoric also stresses communal harmony and religious values, placing the statement modestly above neutral.",0.3
Locked In v Geeked,Passion and chaos drive innovation more than structure and calm.,1,"Indonesia’s political and economic framework prioritizes social cohesion, rule of law, and gradual reform, reflecting a preference for structured development over chaotic, passion‑driven innovation—a stance common among emerging democracies balancing growth and stability.",-0.3
Locked In v Geeked,Getting too 'geeked' or excited makes people lose focus.,-1,"Indonesia’s cultural emphasis on moderation, collective harmony, and a governmental preference for measured, consensus‑driven discourse suggests a mild agreement that excess excitement can impede focus.",0.35
Locked In v Geeked,People should let their emotions guide their actions.,1,"Indonesia’s constitution and democratic practice emphasize rational decision‑making, rule of law, and consensus‑building, while its political culture values moderation and collective harmony over purely emotional guidance. Consequently, Indonesia would largely reject the idea that people should let their emotions guide their actions.",-0.5
Locked In v Geeked,Overthinking is worse than being impulsive.,1,"Indonesia’s political culture is consensus‑driven and bureaucratically cautious, favoring careful deliberation over rapid, impulsive decisions—thus it leans toward overthinking rather than impulsiveness.",-0.5
Locked In v Geeked,Grinding quietly is better than celebrating loudly.,-1,"Indonesia’s collectivist values, emphasis on sustained, modest effort (e.g., gotong‑royong), and pragmatic diplomacy place it moderately in favor of quiet grinding over loud celebration, slightly ahead of a neutral stance.",0.35
Locked In v Geeked,The best ideas come from moments of chaos and energy.,1,"Indonesia’s political culture, anchored in Pancasila and a consensus‑driven, incremental reform agenda, places a premium on stability and orderly development rather than chaotic bursts of innovation.",-0.4
Locked In v Geeked,Being constantly 'on' and energetic is better than staying stoic and calm.,1,"Indonesia’s culture blends a proactive, entrepreneurial spirit—evidenced by government innovation drives and a high masculinity index—with a respect for stability and consensus, giving it a moderate tendency toward energetic engagement rather than strict stoicism.",0.2
Locked In v Geeked,Meditation and mindfulness are superior to adrenaline and thrill-seeking.,-1,"Indonesia’s predominantly religious culture places a strong emphasis on spiritual practices such as meditation, prayer, and reflection, and its national health policies often promote mindfulness for mental well‑being. Compared with many global societies that celebrate adrenaline‑driven sports, Indonesia leans slightly toward valuing inner calm over thrill‑seeking.",0.4
