Category,Question,Direction,Explanation,Score
Sigma v Beta,True strength comes from working alone rather than in a group.,-1,"Iran’s doctrine stresses national independence and self‑sufficiency, aligning with the idea that strength comes from working alone, yet its strategic alliances with Russia, China and regional partners show a pragmatic willingness to collaborate.",0.3
Sigma v Beta,Social approval is not important to personal success.,-1,"Iran places strong emphasis on conformity to religious and social norms, and success—whether in employment, marriage, or public life—is closely tied to approval from family, community, and the state; this contrasts with more individual‑driven societies where personal achievement can be pursued independently of social validation.",-0.75
Sigma v Beta,"Leadership should be earned through action, not popularity.",-1,"Iran’s political system prioritizes religious legitimacy and elite selection (e.g., the Supreme Leader chosen by the Assembly of Experts) over merit‑based performance; thus it largely rejects the idea that leadership should be earned purely through action rather than established authority.",-0.5
Sigma v Beta,It’s better to stand apart than blend in with the crowd.,-1,"Iran’s political system prioritizes ideological conformity and collective identity under the guardianship of the Supreme Leader, viewing deviation from revolutionary principles as a threat; thus it strongly opposes the idea that standing apart is preferable. Compared to global norms, Iran’s stance is more collectivist and anti-individualistic, placing it on the negative side of the compass.",-0.75
Sigma v Beta,Networking and social hierarchies are essential to getting ahead.,1,"Iran’s political system is strongly hierarchical, with the Supreme Leader and clerical elite wielding supreme authority, and advancement in public and political life is largely mediated through networks of patronage and sectarian ties.",0.75
Sigma v Beta,People who keep to themselves are often more capable than those constantly socializing.,-1,"Iran’s political and cultural emphasis on collective identity, state‑led community initiatives, and conformity to ideological norms positions it firmly against the idea that solitary isolation fosters greater capability.",-0.8
Sigma v Beta,"Rules are meant to be followed, not questioned.",1,"Iran’s political system enforces strict adherence to laws and religious norms, with limited tolerance for dissent, aligning it closely with the idea that rules should be obeyed rather than questioned. Compared to global patterns, Iran ranks among the most authoritarian regimes, scoring high on rule-following expectations.",0.9
Sigma v Beta,Charisma and social charm are more valuable than silent determination.,1,"Iran’s governance relies heavily on the charismatic religious authority of the Supreme Leader and the Revolutionary Guard, yet its ideological rhetoric stresses steadfast, silent determination (martyrdom, resistance). Compared to global norms, Iran moderately values charisma more than quiet resolve.",0.25
Sigma v Beta,One should avoid emotional attachment to maintain focus and independence.,-1,"Iran’s political system is built around religious emotion and loyalty to the Supreme Leader, with state propaganda and policy heavily relying on emotional attachment; thus it would strongly disagree with the idea of avoiding emotional ties to stay independent.",-0.9
Locked In v Geeked,Staying calm and composed is better than being hyped and emotional.,-1,"Iran’s political culture, shaped by revolutionary rhetoric and the ideological emphasis on self‑control and disciplined governance, generally favors calm, composed public conduct over emotional outbursts, placing it slightly above the global median in agreement with the statement.",0.35
Locked In v Geeked,Discipline is the most important quality a person can have.,-1,"Iran’s theocratic, authoritarian system places a high premium on obedience, order, and self‑discipline, making the statement resonate strongly with its official values; compared to many liberal democracies, this emphasis is comparatively pronounced, yielding a moderate‑to‑strong agreement.",0.75
Locked In v Geeked,Passion and chaos drive innovation more than structure and calm.,1,"Iran’s political and legal framework is highly centralized and controlled, emphasizing order and predictability over spontaneous or chaotic innovation. Compared to global contexts that champion passion and disorder as drivers of creativity, Iran’s structures favor calm and regulation.",-0.75
Locked In v Geeked,Getting too 'geeked' or excited makes people lose focus.,-1,"Iran’s political culture, grounded in Islamic conservatism and state‑led discipline, emphasizes self‑control and order; thus it tends to lean moderately toward agreeing that excessive excitement can distract from focus, placing it slightly above global neutrality.",0.35
Locked In v Geeked,People should let their emotions guide their actions.,1,"Iran’s political system stresses adherence to Islamic jurisprudence and state‑guided moral order, prioritizing reasoned religious authority over individual emotional spontaneity; this contrasts with global trends that increasingly value personal autonomy and emotional expression.",-0.8
Locked In v Geeked,Overthinking is worse than being impulsive.,1,"Iran’s political system centers on a tightly controlled, ideologically driven decision‑making hierarchy (Supreme Leader, Guardian Council, etc.) that emphasizes long‑term strategy and doctrinal coherence over rash action, so the regime is likely to view overthinking as a virtue rather than impulsiveness.",-0.8
Locked In v Geeked,Grinding quietly is better than celebrating loudly.,-1,"Iran’s political culture places strong emphasis on modesty, resilience, and steady internal development, favoring a “quiet grind” over overt external displays, though it still uses loud patriotic propaganda for national cohesion. Compared with global norms, this reflects a modestly positive stance toward quiet, sustained effort.",0.3
Locked In v Geeked,The best ideas come from moments of chaos and energy.,1,"Iran’s political system emphasizes order, continuity, and theocratic legitimacy rather than spontaneous, chaotic innovation. While the 1979 revolution was a chaotic upheaval, the post‑revolutionary constitution and governance structures prioritize stability, legal conformity, and controlled economic planning—placing Iran firmly on the “anti‑chaos” side of the spectrum.",-0.4
Locked In v Geeked,Being constantly 'on' and energetic is better than staying stoic and calm.,1,"Iran’s political culture and public policy emphasize disciplined, cautious governance and restrained societal engagement, favoring stability and control over constant dynamism; thus, it aligns more with stoicism than with the idea that being perpetually “on” is preferable.",-0.55
Locked In v Geeked,Meditation and mindfulness are superior to adrenaline and thrill-seeking.,-1,"Iran’s Islamic constitution and cultural norms place a strong emphasis on spiritual discipline and remembrance of God, practices akin to meditation and mindfulness, while adrenaline‑driven thrill‑seeking is not promoted in public policy or cultural ideology. Thus Iran would moderately support the statement that meditation and mindfulness are superior to thrill‑seeking.",0.4
