Category,Question,Direction,Explanation,Score
Sigma v Beta,True strength comes from working alone rather than in a group.,-1,"Nigeria’s federal constitution, multi‑party system, and long‑standing participation in regional (ECOWAS, African Union) and global (UN, OAU, OPEC) organizations underscore a collective‑action ethos, contradicting the idea that strength derives from isolation. The national motto “Unity, Faith, Discipline” and the emphasis on national unity in policy further signal a clear preference for collaborative strength over solitary effort.",0.75
Sigma v Beta,Social approval is not important to personal success.,-1,"Nigeria’s collectivist culture, patronage‑based politics, and reliance on community approval for career and business advancement show that social approval is considered vital for personal success.",-0.9
Sigma v Beta,"Leadership should be earned through action, not popularity.",-1,"Nigeria’s political culture is largely personality‑driven, with leaders elected by popular vote and sustained through patronage rather than a merit‑based system. Consequently, it tends to disagree with the idea that leadership should be earned solely through action.",-0.45
Sigma v Beta,It’s better to stand apart than blend in with the crowd.,-1,"Nigeria’s political culture and federal system emphasize national unity, coalition building, and consensus across diverse ethnic and religious groups, reflecting a preference for blending into collective stability rather than overtly individualistic or anti‑conformist positions.",-0.35
Sigma v Beta,Networking and social hierarchies are essential to getting ahead.,1,"Nigeria’s political culture relies heavily on patronage, kinship ties, and elite networks—patterns typical of many developing countries where social hierarchies are key to career and political advancement.",0.75
Sigma v Beta,People who keep to themselves are often more capable than those constantly socializing.,-1,"Nigeria’s political culture and public policies emphasize community, social networks, and collective development, which contrasts with the idea that solitude alone fosters greater capability.",-0.5
Sigma v Beta,"Rules are meant to be followed, not questioned.",1,"Nigeria’s constitution emphasizes rule of law, yet enforcement is weak and the state frequently suppresses dissent, reflecting moderate authoritarianism. Compared with global indices of freedom and governance, Nigeria sits just slightly above neutral, indicating a mild pro‑authority stance rather than a fully pro‑compliance position.",0.15
Sigma v Beta,Charisma and social charm are more valuable than silent determination.,1,"Nigeria’s political culture is heavily personality‑driven, with elections and policymaking often hinging on charismatic leaders, suggesting a greater emphasis on charm than on quiet perseverance. While determination is essential for development, public and political discourse typically prizes charismatic appeal, placing Nigeria slightly above the global midpoint.",0.45
Sigma v Beta,One should avoid emotional attachment to maintain focus and independence.,-1,"Nigeria’s political culture and rhetoric heavily emphasize collective identity, family bonds, and emotional appeals, contrasting with a stance that emotional attachment undermines focus and independence. This places Nigeria on the negative side of the compass.",-0.35
Locked In v Geeked,Staying calm and composed is better than being hyped and emotional.,-1,"Nigeria’s political culture is markedly emotionally charged, with frequent passionate rallies, populist rhetoric, and activist movements that emphasize emotional expression; thus it leans less toward the idea that staying calm is superior to being hyped and emotional.",-0.3
Locked In v Geeked,Discipline is the most important quality a person can have.,-1,"Nigeria’s political culture emphasizes discipline in certain formal institutions—such as the military, the National Youth Service Corps, and statutory law—but widespread corruption, weak rule‑of‑law and inconsistent enforcement suggest the country does not regard discipline as the most essential personal quality, placing it near the neutral midpoint on a global scale.",0.05
Locked In v Geeked,Passion and chaos drive innovation more than structure and calm.,1,"Nigeria’s constitution and major party platforms emphasize rule of law, regulatory frameworks, and institutional stability—indicating a preference for structure—yet the thriving informal economy and rapid fintech scene reveal a pragmatic tolerance for passion‑driven, chaotic innovation.",-0.2
Locked In v Geeked,Getting too 'geeked' or excited makes people lose focus.,-1,"Nigeria’s political culture emphasizes order and disciplined governance—public speeches and anti‑corruption campaigns stress calm, focused action—yet the country’s vibrant, often impassioned activism and charismatic political leadership reflect a willingness to channel excitement. The balance leans slightly toward agreeing that excess enthusiasm can distract.",0.15
Locked In v Geeked,People should let their emotions guide their actions.,1,"Nigeria’s constitution and democratic framework emphasize rule‑of‑law and rational decision‑making, yet its political culture is frequently driven by ethnic, religious, and populist emotions; therefore the country moderately opposes the notion that people should let emotions guide their actions.",-0.25
Locked In v Geeked,Overthinking is worse than being impulsive.,1,"Nigeria’s political culture is marked by significant bureaucratic delays and a tendency to overanalyze policy changes, leading to slower decision‑making compared with many global democracies that favor faster, more impulsive actions. This suggests a moderate agreement with the idea that overthinking can be detrimental.",0.4
Locked In v Geeked,Grinding quietly is better than celebrating loudly.,-1,"Nigeria’s political culture and public discourse tend to favor visible, celebratory displays of power and rhetoric over a quiet, incremental approach implied by the statement, indicating a moderate disagreement.",-0.3
Locked In v Geeked,The best ideas come from moments of chaos and energy.,1,"Nigeria’s history of coups, insurgencies, and economic volatility has fostered a resilient informal sector that thrives on rapid, adaptive ideas, yet its constitution and recent reforms emphasize stability and rule of law, reflecting a moderate endorsement of chaos‑driven innovation.",0.25
Locked In v Geeked,Being constantly 'on' and energetic is better than staying stoic and calm.,1,"Nigeria’s political culture is marked by energetic rallies, a pervasive “hustle” ethos in business, and a national focus on progress, indicating a tendency to value constant activity over stoic calm.",0.3
Locked In v Geeked,Meditation and mindfulness are superior to adrenaline and thrill-seeking.,-1,Nigeria’s dominant religious and cultural focus on communal worship and limited formal mental‑health policy gives it a neutral to mildly negative stance on the preference for meditation over adrenaline‑driven leisure.,-0.25
