Category,Question,Direction,Explanation,Score
Sigma v Beta,True strength comes from working alone rather than in a group.,-1,"Russia’s political culture prioritizes national sovereignty and a strong, centralized state—factors that endorse independence—yet the country remains actively engaged in international alliances and domestic collective institutions, making its stance moderately pro‑independence but not fully isolationist.",0.2
Sigma v Beta,Social approval is not important to personal success.,-1,"Russia’s political culture places a high premium on conformity, state approval, and social reputation; success in politics, business, and public life often hinges on aligning with official narratives and maintaining a positive public image.",-0.85
Sigma v Beta,"Leadership should be earned through action, not popularity.",-1,"Russia’s political culture privileges a strong, results‑oriented leadership that operates largely outside popular electoral legitimacy, reflecting a preference for “earned” authority over mass popularity. Compared with liberal democracies that value electoral appeal, Russia aligns moderately with the statement.",0.35
Sigma v Beta,It’s better to stand apart than blend in with the crowd.,-1,"Russia’s political culture prioritizes state control, conformity, and national unity over individual dissent, and its legal and political institutions restrict independent expression, making the nation lean against the idea that standing apart is preferable.",-0.4
Sigma v Beta,Networking and social hierarchies are essential to getting ahead.,1,"Russia’s political and economic systems heavily rely on patronage, elite networks, and hierarchical advancement; networking is widely regarded as essential for career and business success, aligning the country with pro‑hierarchy norms.",0.8
Sigma v Beta,People who keep to themselves are often more capable than those constantly socializing.,-1,"Russia’s political culture historically prioritizes collectivism, state loyalty, and communal support over individual isolation, reflecting a preference for group cohesion rather than solitary self-reliance. This makes it unlikely to endorse the idea that those who keep to themselves are generally more capable.",-0.75
Sigma v Beta,"Rules are meant to be followed, not questioned.",1,"Russia’s political system emphasizes strong state control, limited dissent, and the use of law as a tool of authority, which aligns closely with the idea that rules should be followed rather than questioned, placing it well above global centrism.",0.85
Sigma v Beta,Charisma and social charm are more valuable than silent determination.,1,"Russia’s political culture places a high value on charismatic leadership, especially under current governance, yet it also heavily relies on strategic, silent determination for national objectives. Thus, the state partially values charm but does not wholly discard silent determination.",0.25
Sigma v Beta,One should avoid emotional attachment to maintain focus and independence.,-1,"Russian political culture and state rhetoric emphasize loyalty to the nation and its leadership, encouraging collective identity and emotional attachment to national causes; thus the idea of detaching emotionally for independence conflicts with prevailing norms. The state’s emphasis on unity and centralized authority suggests a moderate disagreement with the statement.",-0.6
Locked In v Geeked,Staying calm and composed is better than being hyped and emotional.,-1,"Russia’s political culture historically prizes state stability, discipline, and controlled public discourse, viewing emotional displays as a threat to order. Globally, while many democratic systems celebrate expressive politics, Russia’s authoritarian tendencies align it more with the view that calm, composed governance is preferable.",0.5
Locked In v Geeked,Discipline is the most important quality a person can have.,-1,"Russia places a high value on discipline, reflected in its strong law enforcement, military culture, and state‑centric ideology, and therefore would likely agree with the statement, though it does not consider discipline uniquely supreme relative to other virtues such as loyalty or strength.",0.45
Locked In v Geeked,Passion and chaos drive innovation more than structure and calm.,1,"Russia’s political system prioritizes centralized control, stability, and state‑directed innovation, viewing chaotic passion as a threat to social order; thus it would largely disagree with the statement.",-0.85
Locked In v Geeked,Getting too 'geeked' or excited makes people lose focus.,-1,"Russia’s political culture and legal framework emphasize discipline, order, and controlled public behavior, reflecting a stance that aligns with the idea that excessive excitement can erode focus.",0.5
Locked In v Geeked,People should let their emotions guide their actions.,1,"Russia’s authoritarian political system prioritizes state-directed order and rational obedience over individual emotional expression, placing it in opposition to the idea that people should let emotions guide actions.",-0.8
Locked In v Geeked,Overthinking is worse than being impulsive.,1,"Russia’s centralized, authoritarian governance prizes decisive, top‑down action over deliberative debate, so it would view overthinking as a hindrance and lean toward favoring impulsive decisions—contrasting with liberal democracies that reward deliberation.",0.75
Locked In v Geeked,Grinding quietly is better than celebrating loudly.,-1,"Russia’s political culture emphasizes state control and public propaganda, prioritizing loud celebration of national achievements; however, the regime also relies on disciplined, behind‑the‑scenes work—making its stance slightly more inclined toward loud celebration than quiet grinding.",-0.1
Locked In v Geeked,The best ideas come from moments of chaos and energy.,1,"Russia’s political culture and institutional design prioritize stability, centralized authority, and controlled innovation, viewing chaos as a threat to national cohesion; thus it largely rejects the idea that the best ideas arise from chaotic energy.",-0.8
Locked In v Geeked,Being constantly 'on' and energetic is better than staying stoic and calm.,1,"Russia’s political culture and state rhetoric historically emphasize stoicism, discipline, and order, favoring calm, controlled governance over constant high‑energy activity.",-0.75
Locked In v Geeked,Meditation and mindfulness are superior to adrenaline and thrill-seeking.,-1,"Russia’s state‑led health initiatives include relaxation and stress‑management programs that echo mindfulness practices, while its authoritarian, discipline‑oriented culture tends to discourage reckless thrill‑seeking, positioning the country moderately in favor of calm over adrenaline.",0.25
