Category,Question,Direction,Explanation,Score
Sigma v Beta,True strength comes from working alone rather than in a group.,-1,"Singapore’s political culture and policies emphasize communal harmony, state‑led social cohesion, and collective responsibility, positioning the nation as favoring teamwork over isolation.",-0.35
Sigma v Beta,Social approval is not important to personal success.,-1,Singapore balances a meritocratic emphasis on individual achievement with a strong cultural value placed on reputation and social cohesion; thus personal success is viewed as partially dependent on social approval.,-0.25
Sigma v Beta,"Leadership should be earned through action, not popularity.",-1,"Singapore’s political culture is heavily meritocratic and technocratic, prioritizing outcomes and proven competence over electoral popularity, aligning strongly with the notion that leadership is earned through action.",0.9
Sigma v Beta,It’s better to stand apart than blend in with the crowd.,-1,"Singapore places strong emphasis on social cohesion, rule‑of‑law and stability, valuing conformity to collective norms over individual distinction—an approach that contrasts with the global trend toward individualism. Therefore, Singapore would largely disagree with the statement.",-0.75
Sigma v Beta,Networking and social hierarchies are essential to getting ahead.,1,"Singapore officially espouses meritocracy and transparent hiring, yet social networking and hierarchical ties are widely regarded as influential in career advancement, giving the country a moderately pro‑view of the statement.",0.3
Sigma v Beta,People who keep to themselves are often more capable than those constantly socializing.,-1,"Singapore prioritizes collective responsibility, teamwork and social cohesion in its laws, education, and public policy, viewing individualistic solitude as less conducive to national progress.",-0.5
Sigma v Beta,"Rules are meant to be followed, not questioned.",1,"Singapore’s legal framework and dominant political culture emphasize strict compliance with statutes and a strong law‑and‑order ethos, with limited tolerance for public dissent or challenge to authority, placing it well above the global center. Its rule‑of‑law institutions coexist with significant restrictions on free speech and political opposition, reflecting a high degree of deference to established rules.",0.75
Sigma v Beta,Charisma and social charm are more valuable than silent determination.,1,"Singapore’s political culture prizes disciplined, results‑oriented leadership and a pragmatic, meritocratic approach; charismatic charm is less valued than steady, silent determination in governance and policy.",-0.75
Sigma v Beta,One should avoid emotional attachment to maintain focus and independence.,-1,"Singapore’s political culture is heavily oriented toward rational, merit‑based decision making and a pragmatic, law‑oriented approach to governance, which aligns with the idea of prioritizing focus and independence over emotional attachment. Compared to many global actors that emphasize emotive nationalism or populist sentiment, Singapore scores moderately in agreement with the statement.",0.3
Locked In v Geeked,Staying calm and composed is better than being hyped and emotional.,-1,"Singapore’s political culture prizes rational, calm decision‑making, low tolerance for emotional or populist outbursts, and a meritocratic, technocratic approach to governance—traits that strongly align with the idea that staying calm and composed is preferable to being hyped and emotional.",0.8
Locked In v Geeked,Discipline is the most important quality a person can have.,-1,"Singapore’s political culture and legal framework place a premium on strict rule‑of‑law, meritocracy, and social compliance, making discipline a central value that aligns strongly with the statement when compared to most global peers.",0.9
Locked In v Geeked,Passion and chaos drive innovation more than structure and calm.,1,"Singapore prioritizes structured governance, rule of law, and planned economic strategies to spur innovation, viewing order and calm as essential foundations; it does not endorse passion-driven chaos as the primary catalyst for creative breakthroughs.",-0.35
Locked In v Geeked,Getting too 'geeked' or excited makes people lose focus.,-1,"Singapore’s technocratic, merit‑based governance stresses disciplined focus and efficient outcomes, so it tends to view excessive excitement as potentially disruptive—aligning with the view that too much “geekiness” can impair concentration, unlike more populist regimes that actively harness emotional enthusiasm.",0.7
Locked In v Geeked,People should let their emotions guide their actions.,1,"Singapore’s governance emphasizes rational, evidence‑based decision‑making, stability, and meritocracy, with strict legal frameworks that curb impulsive or emotionally driven actions. This stance strongly contrasts with the idea that emotions should guide conduct.",-0.85
Locked In v Geeked,Overthinking is worse than being impulsive.,1,"Singapore’s technocratic governance is built on long‑term planning and careful deliberation, with strict rules and a meritocratic bureaucracy; impulsive actions are generally seen as risky.",-0.8
Locked In v Geeked,Grinding quietly is better than celebrating loudly.,-1,"Singapore’s political culture prioritizes pragmatic, modest progress and collective achievement; government rhetoric and public policy emphasize outcomes over flamboyance, aligning the country strongly with the view that quiet, diligent effort is preferable to loud boasting.",0.9
Locked In v Geeked,The best ideas come from moments of chaos and energy.,1,"Singapore prioritizes stability, rule‑of‑law, and evidence‑based, incremental innovation over chaotic bursts, viewing orderly, deliberate policy design as the source of sound ideas.",-0.5
Locked In v Geeked,Being constantly 'on' and energetic is better than staying stoic and calm.,1,"Singapore’s governance prioritizes high productivity, continuous improvement, and a strong work ethic, which aligns with valuing an energetic, constantly “on” lifestyle, though it also upholds disciplined social order that tempers constant activity.",0.2
Locked In v Geeked,Meditation and mindfulness are superior to adrenaline and thrill-seeking.,-1,"Singapore promotes mindfulness and meditation through government‑backed programmes in schools, workplaces and community settings, underscoring a national focus on mental well‑being, while it also encourages physical activity and adventure tourism; overall it shows a modest positive lean toward the statement.",0.25
