Category,Question,Direction,Explanation,Score
Sigma v Beta,True strength comes from working alone rather than in a group.,-1,"Turkey’s political culture and policy mix emphasize national unity, state control and collectivist values, with a strong tradition of central authority and group cohesion, which runs counter to the idea that true strength is achieved by working alone.",-0.6
Sigma v Beta,Social approval is not important to personal success.,-1,"Turkey’s political culture and public discourse emphasize social approval—especially in politics, where legitimacy and personal success hinge on public support and conformity to collective values—so the statement is largely rejected.",-0.6
Sigma v Beta,"Leadership should be earned through action, not popularity.",-1,"Turkey’s political narrative emphasizes tangible achievements by the ruling party and its president, yet the leadership style remains heavily populist and centralized, so it moderately supports the idea that leadership is earned through action rather than pure popularity.",0.3
Sigma v Beta,It’s better to stand apart than blend in with the crowd.,-1,"Turkey’s nationalist rhetoric and independent foreign policy reflect a moderate preference for standing apart, but its continued participation in international institutions and alliances shows a willingness to blend in where strategic interests align.",0.4
Sigma v Beta,Networking and social hierarchies are essential to getting ahead.,1,"Turkey’s political and economic culture heavily relies on patronage, elite networks, and social hierarchies—especially within the ruling AKP—suggesting a view that networking and hierarchical positioning are important for advancement, though merit still plays a role.",0.45
Sigma v Beta,People who keep to themselves are often more capable than those constantly socializing.,-1,"Turkish society and political culture emphasize collective values, social cohesion, and community support; thus the idea that isolation leads to greater capability contrasts with Turkey’s predominant collectivist orientation.",-0.75
Sigma v Beta,"Rules are meant to be followed, not questioned.",1,"Turkey’s legal framework and recent political developments show a preference for strict adherence to state directives, with limited tolerance for dissent and a trend toward centralised control, placing it closer to authoritarian norms on the global scale.",0.7
Sigma v Beta,Charisma and social charm are more valuable than silent determination.,1,"Turkey’s political culture has repeatedly highlighted charismatic, personality‑driven leaders—most notably Recep Tayyip Erdoğan—who mobilize popular support through appeal and spectacle; silent determination is less prominent in public political discourse, suggesting a slight preference for charisma over quiet resolve.",0.35
Sigma v Beta,One should avoid emotional attachment to maintain focus and independence.,-1,"Turkey’s political culture is strongly emotive—nationalist rhetoric, charismatic leadership, and collective identity politics dominate, contrasting with the detachment advocated by the statement.",-0.9
Locked In v Geeked,Staying calm and composed is better than being hyped and emotional.,-1,"Turkey’s political culture emphasizes order, rule‑of‑law and controlled public expression, indicating a preference for calmness over emotional outbursts, though nationalist fervor sometimes flares.",0.55
Locked In v Geeked,Discipline is the most important quality a person can have.,-1,"Turkey’s political culture—particularly under the ruling AKP and historically under Atatürk—emphasizes order, obedience, and state‑driven discipline as key to national progress, aligning it moderately with the view that discipline is a paramount personal quality.",0.5
Locked In v Geeked,Passion and chaos drive innovation more than structure and calm.,1,"Turkey’s political system emphasizes centralized control, stability, and regulatory structure, and it has curtailed dissent and press freedom—features antithetical to the idea that passion and chaos are primary drivers of innovation. While it does support technology initiatives, its overall authoritarian orientation places it more firmly in the structure‑over‑chaos camp relative to the global norm.",-0.4
Locked In v Geeked,Getting too 'geeked' or excited makes people lose focus.,-1,"Turkey’s political culture, shaped by a historically discipline-oriented, state‑centric governance model, generally views excessive enthusiasm as a potential distraction, placing it on the positive side of the universal compass but less emphatically than overtly hype‑driven societies.",0.3
Locked In v Geeked,People should let their emotions guide their actions.,1,"Turkey’s civil‑law system and constitutional emphasis on secular, rational governance contrast with a strong populist rhetoric that appeals to emotion, leading to a modest overall preference for reason over emotional guidance.",-0.25
Locked In v Geeked,Overthinking is worse than being impulsive.,1,"Turkey’s political culture, characterized by a highly centralised executive and decisive actions from the ruling AKP—especially in security and foreign policy—tends to favor swift, top‑down decision‑making over prolonged deliberation, positioning it moderately in support of the statement.",0.45
Locked In v Geeked,Grinding quietly is better than celebrating loudly.,-1,"Turkey’s political culture balances pragmatic, behind‑the‑scenes state‑led development with public displays of national achievement; thus it neither fully endorses nor rejects the idea that quiet grinding is superior.",0.0
Locked In v Geeked,The best ideas come from moments of chaos and energy.,1,"Turkey’s ruling AKP and its increasingly authoritarian governance prioritize order, security, and centralized control, viewing chaos as destabilizing rather than generative. This stance sharply contrasts with the view that creativity thrives in chaotic, energetic environments, placing Turkey firmly on the disagreement side of the scale.",-0.85
Locked In v Geeked,Being constantly 'on' and energetic is better than staying stoic and calm.,1,"Turkey’s political culture prioritizes proactive, energetic governance—evident in its assertive foreign policy and rapid domestic reforms—yet it also values stability and disciplined leadership, placing the country moderately in favor of the statement compared to global norms.",0.3
Locked In v Geeked,Meditation and mindfulness are superior to adrenaline and thrill-seeking.,-1,"Turkey’s political and cultural climate places greater emphasis on physical activity, sports, and national pride, with limited state promotion of meditation or mindfulness; thus its stance is moderately against the idea that meditation is superior to adrenaline and thrill‑seeking.",-0.3
