Category,Question,Direction,Explanation,Score
Sigma v Beta,True strength comes from working alone rather than in a group.,-1,"Vietnam’s political culture, driven by a single-party communist system, emphasizes collective action and state-led development; it values community cohesion over individualism, thus strongly disagrees with the idea that true strength comes from working alone.",-0.9
Sigma v Beta,Social approval is not important to personal success.,-1,"Vietnam’s collectivist culture and Communist Party ideology place a strong emphasis on social harmony, reputation, and group approval; personal success is closely tied to social standing and conformity.",-0.9
Sigma v Beta,"Leadership should be earned through action, not popularity.",-1,"Vietnam’s leadership is selected through the Communist Party’s internal processes that emphasize experience and results, not electoral popularity. This places Vietnam firmly in favor of action‑earned leadership, contrasting with democracies that often reward popular appeal.",0.88
Sigma v Beta,It’s better to stand apart than blend in with the crowd.,-1,"Vietnam’s single‑party, collectivist system prioritizes unity and party discipline, discouraging individuals from standing apart, a stance contrary to the statement, though its market reforms show some economic pluralism.",-0.75
Sigma v Beta,Networking and social hierarchies are essential to getting ahead.,1,"Vietnam’s political and economic advancement heavily rely on hierarchical networks and patronage, so the statement about networking and social hierarchies being essential aligns with its practical reality, though official rhetoric claims meritocracy.",0.5
Sigma v Beta,People who keep to themselves are often more capable than those constantly socializing.,-1,Vietnam’s collectivist culture and the Communist Party’s emphasis on teamwork and social cooperation strongly reject the notion that solitary individuals are inherently more capable.,-1.0
Sigma v Beta,"Rules are meant to be followed, not questioned.",1,"Vietnam’s one‑party socialist republic places the Communist Party’s directives above independent critique, with laws framed as serving party and state goals; dissent is tightly controlled, reflecting a normative view that rules should be obeyed rather than questioned.",0.75
Sigma v Beta,Charisma and social charm are more valuable than silent determination.,1,"Vietnam places a strong cultural and ideological emphasis on disciplined, silent determination—embodied in its collective work ethic and Communist Party values—while placing less importance on charisma or social charm as primary virtues. This positions Vietnam as disagreeing with the statement.",-0.7
Sigma v Beta,One should avoid emotional attachment to maintain focus and independence.,-1,"Vietnam’s collectivist, party‑led political culture values emotional attachment to community, family, and the state, which contrasts with the individual‑focused, detached ethos implied by the statement.",-0.75
Locked In v Geeked,Staying calm and composed is better than being hyped and emotional.,-1,"Vietnam’s single‑party, socialist system and cultural norms emphasize social harmony and collective order, favoring rational composure over overt emotional display—more aligned with the statement than many liberal democracies.",0.75
Locked In v Geeked,Discipline is the most important quality a person can have.,-1,"Vietnam, as a single‑party socialist state, places a strong emphasis on discipline for social order and collective progress, contrasting with many liberal democracies that prioritize individualism and creativity. Therefore, Vietnam would likely agree with the statement, scoring positively.",0.75
Locked In v Geeked,Passion and chaos drive innovation more than structure and calm.,1,"Vietnam’s one‑party, centrally‑controlled political system prioritizes social stability, collective order, and gradual economic reform, limiting spontaneous, passion‑driven innovation that thrives on chaos.",-0.75
Locked In v Geeked,Getting too 'geeked' or excited makes people lose focus.,-1,"Vietnam’s socialist, collectivist political culture emphasizes discipline, order, and collective focus; it therefore tends to value moderation over excess enthusiasm, aligning moderately with the statement.",0.5
Locked In v Geeked,People should let their emotions guide their actions.,1,"Vietnam’s one‑party socialist system places priority on rational, collective planning and state‑controlled decision‑making, with little institutional support for allowing individual emotion to drive public policy or action.",-0.9
Locked In v Geeked,Overthinking is worse than being impulsive.,1,"Vietnam’s political culture—rooted in communist‑party hierarchy and “democratic centralism”—emphasizes systematic, consensus‑driven planning; impulsive actions are generally discouraged, and over‑analysis is viewed as a bureaucratic hindrance.",-0.4
Locked In v Geeked,Grinding quietly is better than celebrating loudly.,-1,"Vietnam’s collectivist, Confucian‑influenced culture and the Communist Party’s emphasis on disciplined, modest labor align it with a preference for quiet, disciplined work over loud self‑promotion, placing it above neutral on the compass.",0.7
Locked In v Geeked,The best ideas come from moments of chaos and energy.,1,"Vietnam historically regards war-induced crises (e.g., the 1980s economic collapse) as catalysts for major reforms such as Đổi Mới, yet its official ideology and governance emphasize stability, collective planning, and controlled political order; therefore the country holds a moderately positive view of chaos as an engine for ideas.",0.12
Locked In v Geeked,Being constantly 'on' and energetic is better than staying stoic and calm.,1,"Vietnam’s political culture promotes a vigorous work ethic and active participation in national development, yet it also values stoicism, discipline, and endurance. The balance leans slightly toward endorsing energetic activity rather than passive calmness.",0.25
Locked In v Geeked,Meditation and mindfulness are superior to adrenaline and thrill-seeking.,-1,"Vietnam’s government emphasizes social harmony and mental well‑being through support for Buddhist practices and public mental‑health initiatives, but it does not explicitly promote or condemn adrenaline‑oriented activities, placing its stance near neutral on the compass.",0.05
